time,disp_y_top,h,react_y_top,stress_yy
0,0,0,0,0
0.01,-0.00226,0.081726825400814,-0.010288332234926,-0.00081834252425941
0.02,-0.00452,0.081726825400814,-0.02356851148331,-0.0018738348562505
0.03,-0.00678,0.081726825400814,-0.038055635775467,-0.0030242005607291
0.04,-0.00904,0.081726825400814,-0.05494794950805,-0.004364610007009
0.05,-0.0113,0.081726825400814,-0.071812540955174,-0.0057013556019211
0.06,-0.01356,0.081726825400814,-0.091943637896717,-0.0072964657600337
0.07,-0.01582,0.081726825400814,-0.11025377266308,-0.0087451580509107
0.08,-0.01808,0.081726825400814,-0.12969402707246,-0.010282037322176
0.09,-0.02034,0.081726825400814,-0.153878131009,-0.012194567481559
0.1,-0.0226,0.081726825400814,-0.17735722470375,-0.014049078843806
0.11,-0.02486,0.081726825400814,-0.20398862579777,-0.016152395683989
0.12,-0.02712,0.081726825400814,-0.23100534849782,-0.018284295272358
0.13,-0.02938,0.081726825400814,-0.25852059484442,-0.020453581972461
0.14,-0.03164,0.081726825400814,-0.29116373157564,-0.023028491464479
0.15,-0.0339,0.081726825400814,-0.3229538051603,-0.025532941383046
0.16,-0.03616,0.081726825400814,-0.35867329690112,-0.028347320546007
0.17,-0.03842,0.081726825400814,-0.39408986338807,-0.031134914155691
0.18,-0.04068,0.081726825400814,-0.4304510440319,-0.033994644541179
0.19,-0.04294,0.081726825400814,-0.47076642221874,-0.037165978846013
0.2,-0.0452,0.081726825400814,-0.51135309837972,-0.040355578795758
0.21,-0.04746,0.081726825400814,-0.55712553594172,-0.043954266967014
0.22,-0.04972,0.081726825400814,-0.60115306641877,-0.047410749547507
0.23,-0.05198,0.081726825400814,-0.64740053454081,-0.051040083998804
0.24,-0.05424,0.081726825400814,-0.69646373738252,-0.054889694633675
0.25,-0.0565,0.081726825400814,-0.74398669609542,-0.058612837366515
0.26,-0.05876,0.081726825400814,-0.80079411952508,-0.063070223800824
0.27,-0.06102,0.081726825400814,-0.85395495732334,-0.067233204348892
0.28,-0.06328,0.081726825400814,-0.91123271567494,-0.07171912619809
0.29,-0.06554,0.081726825400814,-0.96862817267946,-0.076210027850701
0.3,-0.0678,0.081726825400814,-1.0267380050146,-0.080752838442214
0.31,-0.07006,0.081726825400814,-1.089603142901,-0.085669034677081
0.32,-0.07232,0.081726825400814,-1.1519956042225,-0.090542489789
0.33,-0.07458,0.081726825400814,-1.2210360263612,-0.095939131408912
0.34,-0.07684,0.081726825400814,-1.2892277148181,-0.1012628211651
0.35,-0.0791,0.081726825400814,-1.3504825836153,-0.10602967318807
0.36,-0.08136,0.081726825400814,-1.4245746836609,-0.11181105509854
0.37,-0.08362,0.081726825400814,-1.5058809286939,-0.11816046588268
0.38,-0.08588,0.081726825400814,-1.5729502167025,-0.12337262065827
0.39,-0.08814,0.081726825400814,-1.6542971708471,-0.12971232558055
0.4,-0.0904,0.081726825400814,-1.7206635822794,-0.13485556207406
0.41,-0.09266,0.081726825400814,-1.8148622637811,-0.14220436815495
