time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.00226,-0.0034480397399946,-0.00027434162722633
0.02,-0.00452,-0.011728209370185,-0.00093257987985926
0.03,-0.00678,-0.018051566956576,-0.0014345661186473
0.04,-0.00904,-0.028911369750422,-0.0022967145819911
0.05,-0.0113,-0.038587399742949,-0.0030638995669614
0.06,-0.01356,-0.051595968577126,-0.0040952696653393
0.07,-0.01582,-0.059941285251599,-0.0047546332213655
0.08,-0.01808,-0.078563488520921,-0.0062307528500722
0.09,-0.02034,-0.088469860196874,-0.0070121103204714
0.1,-0.0226,-0.10865549525158,-0.0086102685649187
0.11,-0.02486,-0.12261965588789,-0.0097121215985631
0.12,-0.02712,-0.1411320337562,-0.011174424087424
0.13,-0.02938,-0.16138873224909,-0.012774284277683
0.14,-0.03164,-0.1777847932936,-0.0140651163666
0.15,-0.0339,-0.20483079634392,-0.016202195982924
0.16,-0.03616,-0.22059284203756,-0.017439149636145
0.17,-0.03842,-0.25248479877537,-0.01995833557456
0.18,-0.04068,-0.2722224235567,-0.021508064782579
0.19,-0.04294,-0.30174714076854,-0.023834590185748
0.2,-0.0452,-0.32811415505789,-0.025908090043033
0.21,-0.04746,-0.35471562668444,-0.027997514187459
0.22,-0.04972,-0.38864725625466,-0.030668806977119
0.23,-0.05198,-0.41262622354825,-0.032544793439971
0.24,-0.05424,-0.45413124120194,-0.035814208984211
0.25,-0.0565,-0.4795581493682,-0.037800505928466
0.26,-0.05876,-0.52251744291028,-0.041179924336836
0.27,-0.06102,-0.5533925368326,-0.043594865481333
0.28,-0.06328,-0.59246819466333,-0.04665905945578
0.29,-0.06554,-0.63155788016139,-0.049722392644976
0.3,-0.0678,-0.66757334188499,-0.052536908759645
0.31,-0.07006,-0.7148536069852,-0.05624641243238
0.32,-0.07232,-0.74770832466139,-0.058803005711577
0.33,-0.07458,-0.80930678746442,-0.063646068752138
0.34,-0.07684,-0.84970089283425,-0.066796414951312
0.35,-0.0791,-0.88069521175796,-0.069192734324111
0.36,-0.08136,-0.91346592740191,-0.071726089923635
0.37,-0.08362,-0.99208006136898,-0.077911065857395
0.38,-0.08588,-1.0466649182185,-0.082177935209526
0.39,-0.08814,-1.0854644538837,-0.085181702600769
0.4,-0.0904,-1.1178241302819,-0.087666313973278
0.41,-0.09266,-1.1878939555902,-0.093152699483634
0.42,-0.09492,-1.2623177766682,-0.09898406509227
0.43,-0.09718,-1.3118606815832,-0.1028282059166
0.44,-0.09944,-1.3516792277224,-0.10589027979937
0.45,-0.1017,-1.3971338998938,-0.10939548274074
