time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.00226,-0.0037729347431484,-0.0017982126570166
0.02,-0.00452,-0.0043549132702547,-0.0020759786730686
0.03,-0.00678,-0.0049046483041876,-0.0023364018463941
0.04,-0.00904,-0.0054323208040617,-0.002585956403529
0.05,-0.0113,-0.0077008346512962,-0.0036669663231947
0.06,-0.01356,-0.011660898981939,-0.0055548333135975
0.07,-0.01582,-0.015462753713484,-0.0073649749913064
0.08,-0.01808,-0.020372398698413,-0.0097016343404052
0.09,-0.02034,-0.024419520097926,-0.011623964499714
0.1,-0.0226,-0.027687965673919,-0.013172275676054
0.11,-0.02486,-0.030232652986411,-0.014373197090957
0.12,-0.02712,-0.032520842815893,-0.01545018856563
0.13,-0.02938,-0.039972351976445,-0.018992330136541
0.14,-0.03164,-0.048906511992423,-0.023238753387734
0.15,-0.0339,-0.057061848648318,-0.027108833813806
0.16,-0.03616,-0.063871003622996,-0.030332397885398
0.17,-0.03842,-0.069591725877915,-0.033032448085742
0.18,-0.04068,-0.074239094742452,-0.035216635829323
0.19,-0.04294,-0.078240671047905,-0.037089180521601
0.2,-0.0452,-0.086832229134945,-0.041152667093188
0.21,-0.04746,-0.097434562690945,-0.046172261288911
0.22,-0.04972,-0.10707827575352,-0.05072883736761
0.23,-0.05198,-0.11524135399836,-0.054573379079237
0.24,-0.05424,-0.12282142141387,-0.058134850730682
0.25,-0.0565,-0.13031882368591,-0.061652266622314
0.26,-0.05876,-0.13698396947098,-0.064768118090615
0.27,-0.06102,-0.14942729656796,-0.070641916325936
0.28,-0.06328,-0.16177408246701,-0.07646359324637
0.29,-0.06554,-0.17476828890988,-0.082588695894491
0.3,-0.0678,-0.18775831557464,-0.088704942645924
0.31,-0.07006,-0.19899927097884,-0.093979925471682
0.32,-0.07232,-0.20915409380733,-0.098730219428453
0.33,-0.07458,-0.21952198287055,-0.10357683861593
0.34,-0.07684,-0.2331788451783,-0.10998882283105
0.35,-0.0791,-0.2487186849792,-0.11729392982525
0.36,-0.08136,-0.2642422181926,-0.12458296144964
0.37,-0.08362,-0.27785317412906,-0.130949980109
0.38,-0.08588,-0.28934733531261,-0.13629815796333
0.39,-0.08814,-0.29938522576651,-0.14094290326307
0.4,-0.0904,-0.31316382028991,-0.14736921983506
0.41,-0.09266,-0.33048186327409,-0.15547977872349
0.42,-0.09492,-0.3479788776985,-0.16366733490451
0.43,-0.09718,-0.36374055835683,-0.17101673917416
0.44,-0.09944,-0.37707990090072,-0.17720033521549
0.45,-0.1017,-0.3909198736875,-0.18361606791748
0.46,-0.10396,-0.40701693270288,-0.19110323736009
0.47,-0.10622,-0.42622876228564,-0.20007021810421
0.48,-0.10848,-0.44359482735295,-0.20814646249053
0.49,-0.11074,-0.46116952444718,-0.2163125357029
0.5,-0.113,-0.47766712387861,-0.22395532473117
0.51,-0.11526,-0.49353511467794,-0.23128804101609
0.52,-0.11752,-0.51140212864005,-0.23956804359506
0.53,-0.11978,-0.53150022461178,-0.24890461102444
0.54,-0.12204,-0.54951021893317,-0.25723325713863
0.55,-0.1243,-0.56727889734932,-0.26543825348898
0.56,-0.12656,-0.58797062631039,-0.27502909004294
0.57,-0.12882,-0.61045242618658,-0.28546505015923
0.58,-0.13108,-0.63141758373146,-0.2951647547862
0.59,-0.13334,-0.65154003610866,-0.30445162610872
0.6,-0.1356,-0.6767600119288,-0.31616361888578
0.61,-0.13786,-0.70200460965645,-0.32787567066991
0.62,-0.14012,-0.72591470318418,-0.33893746300243
0.63,-0.14238,-0.74895908139195,-0.3495738700894
0.64,-0.14464,-0.77163940839755,-0.36002586709274
0.65,-0.1469,-0.79492049209777,-0.37075441563664
0.66,-0.14916,-0.81657275728192,-0.38069272984007
0.67,-0.15142,-0.83611191204548,-0.38960913399295
0.68,-0.15368,-0.86004127475592,-0.40061494488011
0.69,-0.15594,-0.88604719355986,-0.4126007905476
0.7,-0.1582,-0.91027875544617,-0.42372490463277
0.71,-0.16046,-0.93188451110463,-0.43358045538291
0.72,-0.16272,-0.95403805841628,-0.44368786479086
0.73,-0.16498,-0.97776768293435,-0.45453798613865
0.74,-0.16724,-0.9997837015279,-0.46455465398162
0.75,-0.1695,-1.0208575324484,-0.47410896104755
0.76,-0.17176,-1.0434335133032,-0.48436953094702
0.77,-0.17402,-1.0680638578374,-0.49559992605505
0.78,-0.17628,-1.0960730840664,-0.5084288776582
0.79,-0.17854,-1.1291483438681,-0.52366328533974
0.8,-0.1808,-1.1597136492618,-0.53768312504885
0.81,-0.18306,-1.1878046687339,-0.55050473315584
0.82,-0.18532,-1.2155892550099,-0.56316610142287
0.83,-0.18758,-1.2419329975692,-0.57512277135229
0.84,-0.18984,-1.2768658560966,-0.59116342976173
0.85,-0.1921,-1.3096177203287,-0.60614728306156
0.86,-0.19436,-1.3444161665831,-0.62208926947442
0.87,-0.19662,-1.3802162180901,-0.63849368717347
0.88,-0.19888,-1.4140217908332,-0.65392688324683
0.89,-0.20114,-1.445845166639,-0.66839651100402
0.9,-0.2034,-1.4770274849068,-0.68254380414051
0.91,-0.20566,-1.5069213083578,-0.69605767137389
0.92,-0.20792,-1.5357160064267,-0.70902917382491
0.93,-0.21018,-1.5647350555401,-0.72209117022146
0.94,-0.21244,-1.5918526951585,-0.73422740805141
0.95,-0.2147,-1.6200760188574,-0.74687779812245
0.96,-0.21696,-1.6512821157215,-0.76094007526299
0.97,-0.21922,-1.687719130828,-0.77748397091337
0.98,-0.22148,-1.7226400118852,-0.79328680743357
0.99,-0.22374,-1.7563224237324,-0.80847976920791
1,-0.226,-1.7887837208867,-0.82307314528482
1.01,-0.22148,-1.6382932184088,-0.75412148283996
1.02,-0.21696,-1.4883842571507,-0.68524912085144
1.03,-0.21244,-1.3411113117677,-0.61745653219558
1.04,-0.20792,-1.2000152738168,-0.55249466609748
1.05,-0.2034,-1.0613915811391,-0.48857932173136
1.06,-0.19888,-0.92446827714427,-0.42534684462472
1.07,-0.19436,-0.79455380515306,-0.36535156779302
1.08,-0.18984,-0.67424818502446,-0.30985448830775
1.09,-0.18532,-0.56414737583954,-0.25914095174197
1.1,-0.1808,-0.4568101475393,-0.20964849296093
1.11,-0.17628,-0.35504755745745,-0.16276708020095
1.12,-0.17176,-0.25957165451426,-0.11881940578212
1.13,-0.16724,-0.17604052760378,-0.080468351844583
1.14,-0.16272,-0.10404027205858,-0.047524447250813
1.15,-0.1582,-0.044307415732019,-0.020300297715436
1.16,-0.15368,-0.0028796178163276,-0.0015571535898707
1.165,-0.15142,-0.0064674327669182,-0.003193219741588
1.175,-0.1469,9.7486410060767e-14,-0.00026289308464042
1.185,-0.14238,1.7200174099209e-13,-0.00026289308481931
1.195,-0.13786,-1.3862018095818e-13,-0.00026289308570223
1.205,-0.13334,-3.7934834796248e-13,-0.00026289308658496
1.215,-0.12882,-3.0643290560052e-13,-0.00026289308746788
1.225,-0.1243,-5.6283067801869e-13,-0.00026289308835063
1.235,-0.11978,-8.4929061139524e-13,-0.00026289308923347
1.245,-0.11526,-9.2241589528419e-13,-0.00026289309011631
1.255,-0.11074,-9.7840561162061e-13,-0.00026289309099906
1.265,-0.10622,-1.2743513562305e-12,-0.00026289309188195
1.275,-0.1017,-1.3579168557714e-12,-0.00026289309276471
1.285,-0.09718,-1.4388061187298e-12,-0.00026289309364754
