time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.00211,-0.0045195482025185,-0.0021558085305922
0.02,-0.00422,-0.00512162799469,-0.0024411937820894
0.03,-0.00633,-0.0056453679783303,-0.002688800879084
0.04,-0.00844,-0.0061386002296762,-0.0029215048080561
0.05,-0.01055,-0.0066111537577173,-0.003144014751981
0.06,-0.01266,-0.010327909761044,-0.0049163267134299
0.07,-0.01477,-0.014163643032783,-0.0067438798918183
0.08,-0.01688,-0.017923866604407,-0.0085333837030877
0.09,-0.01899,-0.022911905861886,-0.010907635742882
0.1,-0.0211,-0.027414043163515,-0.013047392742779
0.11,-0.02321,-0.030762650055545,-0.014634107551368
0.12,-0.02532,-0.033471592840444,-0.015913386104199
0.13,-0.02743,-0.035782979079887,-0.017000975793163
0.14,-0.02954,-0.040997076935581,-0.019473836863443
0.15,-0.03165,-0.048731915318176,-0.02314812614773
0.16,-0.03376,-0.056938303056283,-0.027043822094813
0.17,-0.03587,-0.064053419871613,-0.030414959510226
0.18,-0.03798,-0.07018231019167,-0.033311672871561
0.19,-0.04009,-0.074968165282802,-0.035564400330159
0.2,-0.0422,-0.079154117130314,-0.037527729586719
0.21,-0.04431,-0.083213629389773,-0.039428091487328
0.22,-0.04642,-0.091553358338158,-0.043371368610748
0.23,-0.04853,-0.10196659356419,-0.048301378779965
0.24,-0.05064,-0.11151473382384,-0.052813674221743
0.25,-0.05275,-0.11954399431079,-0.056596188946459
0.26,-0.05486,-0.12625317588079,-0.059744341768808
0.27,-0.05697,-0.1336639287814,-0.063222426188331
0.28,-0.05908,-0.14022810412485,-0.066292402594296
0.29,-0.06119,-0.14934515263834,-0.070579852882281
0.3,-0.0633,-0.16130500620109,-0.076221099424845
0.31,-0.06541,-0.17229200992854,-0.081392093321468
0.32,-0.06752,-0.18322564975211,-0.086531917977113
0.33,-0.06963,-0.19385836104895,-0.09152252618188
0.34,-0.07174,-0.20353707364198,-0.096052668439172
0.35,-0.07385,-0.21212986311989,-0.10005955615812
0.36,-0.07596,-0.22190417255174,-0.10462729952256
0.37,-0.07807,-0.23509837989309,-0.11082460955595
0.38,-0.08018,-0.24822909148323,-0.11698517922297
0.39,-0.08229,-0.2624418877935,-0.12365506671786
0.4,-0.0844,-0.27469166347324,-0.12938242759147
0.41,-0.08651,-0.28543463214718,-0.13438351925789
0.42,-0.08862,-0.29482835300254,-0.13873426401422
0.43,-0.09073,-0.30637978376502,-0.14411090460183
0.44,-0.09284,-0.32161617621597,-0.15124220082522
0.45,-0.09495,-0.33885062453801,-0.15932022825742
0.46,-0.09706,-0.35436606298199,-0.16656964077033
0.47,-0.09917,-0.36764346674117,-0.1727429870228
0.48,-0.10128,-0.37897541867482,-0.17798009730833
0.49,-0.10339,-0.39190721696537,-0.18397467572384
0.5,-0.1055,-0.40929765627871,-0.19209408449789
0.51,-0.10761,-0.42704399729637,-0.20037551798064
0.52,-0.10972,-0.44423585218854,-0.20838436119783
0.53,-0.11183,-0.46010214022034,-0.2157520889431
0.54,-0.11394,-0.47547896209928,-0.22287820127375
0.55,-0.11605,-0.49044299620889,-0.22979876240334
0.56,-0.11816,-0.507075243393,-0.23750938393562
0.57,-0.12027,-0.52626201516142,-0.24643258043708
0.58,-0.12238,-0.54352296508523,-0.25442702206781
0.59,-0.12449,-0.56033288782257,-0.26219887102619
0.6,-0.1266,-0.57917526697599,-0.27093187295013
0.61,-0.12871,-0.59873369875651,-0.27999787703406
0.62,-0.13082,-0.61773391169609,-0.2887870943974
0.63,-0.13293,-0.63553365517784,-0.29699332842791
0.64,-0.13504,-0.65657088576134,-0.30673833406914
0.65,-0.13715,-0.67764636997157,-0.31649186237489
0.66,-0.13926,-0.69709785068548,-0.32545927424798
0.67,-0.14137,-0.71680991088896,-0.33454194876937
0.68,-0.14348,-0.73534968027524,-0.34305416953789
0.69,-0.14559,-0.75480873614644,-0.35199688453041
