time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.00246,-0.00085226195026251,-0.00040657607748712
0.02,-0.00492,-0.0020328610232121,-0.0009701170390218
0.03,-0.00738,-0.0040205208046562,-0.0019185916224235
0.04,-0.00984,-0.0053874338897597,-0.0025695320232296
0.05,-0.0123,-0.0083047747992854,-0.0039607005663066
0.06,-0.01476,-0.012719737481546,-0.0060655661887913
0.07,-0.01722,-0.016088568214045,-0.0076685112461129
0.08,-0.01968,-0.01900599374502,-0.009053751975626
0.09,-0.02214,-0.023546536472379,-0.011212612454789
0.1,-0.0246,-0.027786377659923,-0.01322543932509
0.11,-0.02706,-0.031741008809176,-0.015099514304089
0.12,-0.02952,-0.038237828427822,-0.018185964479819
0.13,-0.03198,-0.044394601728133,-0.021106625576906
0.14,-0.03444,-0.049130953396363,-0.023345190415564
0.15,-0.0369,-0.0546205656285,-0.025940445151716
0.16,-0.03936,-0.06095591403772,-0.028936642166052
0.17,-0.04182,-0.067069484451102,-0.031823382121794
0.18,-0.04428,-0.075598318493178,-0.035860961800135
0.19,-0.04674,-0.085266586903925,-0.04043873257242
0.2,-0.0492,-0.093660041887516,-0.044402361101351
0.21,-0.05166,-0.10136250247188,-0.048030828879373
0.22,-0.05412,-0.11039618659706,-0.052290694177337
0.23,-0.05658,-0.11875419920033,-0.056222504690619
0.24,-0.05904,-0.12865502386428,-0.060886741282089
0.25,-0.0615,-0.1401809732041,-0.066322180620181
0.26,-0.06396,-0.15051703142669,-0.07118265476151
0.27,-0.06642,-0.1609652092057,-0.076090337620263
0.28,-0.06888,-0.17179264085128,-0.081173389867157
0.29,-0.07134,-0.18253734654537,-0.086210734622262
0.3,-0.0738,-0.19467116718875,-0.091905669633523
0.31,-0.07626,-0.20808461014024,-0.098205682057803
0.32,-0.07872,-0.22093218983006,-0.10422773536727
0.33,-0.08118,-0.23451494927129,-0.11059433042907
0.34,-0.08364,-0.24794103687515,-0.11687856649682
0.35,-0.0861,-0.26248605130406,-0.1236897173704
0.36,-0.08856,-0.27701883594532,-0.13048700296676
0.37,-0.09102,-0.29218450171437,-0.13757778980809
0.38,-0.09348,-0.30799431788801,-0.14496797125208
0.39,-0.09594,-0.32284568826106,-0.15189126861341
0.4,-0.0984,-0.3384451965884,-0.15916297182157
0.41,-0.10086,-0.35542921830003,-0.16708734170125
0.42,-0.10332,-0.37145454815529,-0.17454345833781
0.43,-0.10578,-0.38950719898959,-0.18295949037771
0.44,-0.10824,-0.40690159260224,-0.19105030961433
0.45,-0.1107,-0.42385324822207,-0.1989195404572
0.46,-0.11316,-0.44286619681024,-0.20776402192487
0.47,-0.11562,-0.46189638406552,-0.21660623734856
0.48,-0.11808,-0.48114271723432,-0.22554169572825
0.49,-0.12054,-0.50137330634869,-0.23493584416322
0.5,-0.123,-0.52173364765881,-0.24438061850537
0.51,-0.12546,-0.54183361534885,-0.25368907225815
0.52,-0.12792,-0.56395425334942,-0.26395184331
0.53,-0.13038,-0.5844856125278,-0.27344255206364
0.54,-0.13284,-0.60482718828611,-0.28283026551711
0.55,-0.1353,-0.62511490227783,-0.29218020005836
0.56,-0.13776,-0.6489992158211,-0.30323627204963
0.57,-0.14022,-0.67299293931502,-0.31433047693578
0.58,-0.14268,-0.69554616318848,-0.3247226257023
0.59,-0.14514,-0.7185444772042,-0.33531391328503
0.6,-0.1476,-0.74237195553099,-0.34628795655415
0.61,-0.15006,-0.76706156480654,-0.35766063069534
0.62,-0.15252,-0.79176054174792,-0.36902395685598
0.63,-0.15498,-0.81725782387716,-0.38075516807387
0.64,-0.15744,-0.84236807114897,-0.3922865470176
0.65,-0.1599,-0.86813651841941,-0.40411869691672
0.66,-0.16236,-0.89271866582342,-0.41536835850995
0.67,-0.16482,-0.91623916037499,-0.42609589380445
0.68,-0.16728,-0.94322971749303,-0.43846596891364
0.69,-0.16974,-0.97346729921986,-0.45237072006906
0.7,-0.1722,-1.0037907120993,-0.46629875537937
0.71,-0.17466,-1.0319808626747,-0.4791900166254
0.72,-0.17712,-1.0598692430367,-0.49192019366312
0.73,-0.17958,-1.0890244448081,-0.50523898771133
0.74,-0.18204,-1.1181216018914,-0.51851232406153
0.75,-0.1845,-1.1476708972408,-0.53198463443813
0.76,-0.18696,-1.1768956612449,-0.54528449766559
0.77,-0.18942,-1.2081804083104,-0.55955139198645
0.78,-0.19188,-1.2424004853067,-0.57520353316027
0.79,-0.19434,-1.2755692883887,-0.59033512789655
0.8,-0.1968,-1.3071340968757,-0.60468190068332
0.81,-0.19926,-1.3374090600242,-0.61839397968216
0.82,-0.20172,-1.3674017701813,-0.63195350229749
0.83,-0.20418,-1.39722511401,-0.64541299151361
0.84,-0.20664,-1.4284765687472,-0.65953610177447
0.85,-0.2091,-1.4585496411909,-0.67307668869073
0.86,-0.21156,-1.488093670428,-0.68634709009852
0.87,-0.21402,-1.5176646214271,-0.69961153539033
0.88,-0.21648,-1.5516012359344,-0.71494359753506
0.89,-0.21894,-1.5888914034188,-0.73185667286865
0.9,-0.2214,-1.6275188344637,-0.74938805593161
0.91,-0.22386,-1.6692410878509,-0.76837036358481
0.92,-0.22632,-1.708346635537,-0.78607781655112
0.93,-0.22878,-1.7446831703462,-0.80243809487373
0.94,-0.23124,-1.7816139532317,-0.81906131992713
0.95,-0.2337,-1.8176884624251,-0.83525141766996
0.96,-0.23616,-1.8514547378559,-0.85031526555471
0.97,-0.23862,-1.8893020464251,-0.86730811151271
0.98,-0.24108,-1.9276293807825,-0.8845076889205
0.99,-0.24354,-1.9669732385117,-0.90217149677091
1,-0.246,-2.0055473645566,-0.91944108589147
1.01,-0.24108,-1.8244092688471,-0.83657547323139
1.02,-0.23616,-1.6458233924398,-0.7547060380693
1.03,-0.23124,-1.4715853703962,-0.6747380180911
1.04,-0.22632,-1.3009112594233,-0.59626828376579
1.05,-0.2214,-1.1389880571891,-0.52180256854577
1.06,-0.21648,-0.98565486357892,-0.45129454930855
1.07,-0.21156,-0.83951421038306,-0.38412660676872
1.08,-0.20664,-0.70141039854318,-0.32066030262032
1.09,-0.20172,-0.57089992067394,-0.26070540808559
1.1,-0.1968,-0.45161957713207,-0.20598535785342
1.11,-0.19188,-0.34101450329911,-0.15530439009398
1.12,-0.18696,-0.24164168521654,-0.10985787425892
1.13,-0.18204,-0.15375392390802,-0.069760173876144
1.14,-0.17712,-0.080307898183054,-0.036384534743875
1.15,-0.1722,-0.024377850739378,-0.011119405135664
1.16,-0.16728,3.6841130879092e-11,-0.00020548577830901
1.17,-0.16236,-9.9884587914991e-14,-0.00020548587129105
1.18,-0.15744,-3.5872755733039e-11,-0.0002054859645402
1.19,-0.15252,-7.2817942616368e-11,-0.0002054860575793
1.2,-0.1476,-1.0859460744041e-10,-0.00020548615061905
1.21,-0.14268,-1.4556985769822e-10,-0.00020548624365811
1.22,-0.13776,-1.819520573449e-10,-0.00020548633669736
1.23,-0.13284,-2.1836036468917e-10,-0.00020548642995329
1.24,-0.12792,-2.5469969129553e-10,-0.00020548652299224
1.25,-0.123,-2.9138796531403e-10,-0.00020548661603195
1.26,-0.11808,-3.2746324674084e-10,-0.00020548670907109
1.27,-0.11316,-3.6444113450899e-10,-0.00020548680211026
1.28,-0.10824,-4.0079820207032e-10,-0.00020548689570809
1.29,-0.10332,-4.3717220181126e-10,-0.00020548698874725
1.3,-0.0984,-4.7357383350446e-10,-0.00020548708178629
1.31,-0.09348,-5.0996912811486e-10,-0.00020548717482583
1.32,-0.08856,-5.4634311374605e-10,-0.00020548726786512
1.33,-0.08364,-5.8274264397939e-10,-0.00020548736112077
1.34,-0.07872,-6.1909022649454e-10,-0.00020548745415989
1.35,-0.0738,-6.5554424204906e-10,-0.00020548754719906
1.36,-0.06888,-6.9249473829502e-10,-0.00020548764023878
1.37,-0.06396,-7.2886342495751e-10,-0.00020548773327783
1.38,-0.05904,-7.6525539635989e-10,-0.00020548782653407
1.39,-0.05412,-8.0164627441311e-10,-0.00020548791957315
1.4,-0.049199999999999,-8.3804154758221e-10,-0.00020548801261271
1.41,-0.044279999999999,-8.7440300788495e-10,-0.00020548810565194
1.42,-0.039359999999999,-9.107917457525e-10,-0.00020548819869117
1.43,-0.034439999999999,-9.4718546796437e-10,-0.00020548829194706
1.44,-0.029519999999999,-9.841431263303e-10,-0.00020548838498617
