time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.00226,-0.019418903220746,-0.0093643329917875
0.02,-0.00452,-0.026966195496345,-0.012995971554123
0.03,-0.00678,-0.034520753412281,-0.016626664222298
0.04,-0.00904,-0.04147383713025,-0.019963119750235
0.05,-0.0113,-0.047216401680448,-0.022712476054816
0.06,-0.01356,-0.052882349287376,-0.025421285023188
0.07,-0.01582,-0.055708664711147,-0.026761349499418
0.08,-0.01808,-0.058324024824446,-0.027998284656123
0.09,-0.02034,-0.060863511894617,-0.029197067030363
0.1,-0.0226,-0.063340388669396,-0.030364133784135
0.11,-0.02486,-0.065765055082083,-0.031504532949472
0.12,-0.02712,-0.06814579963871,-0.032622288030273
0.13,-0.02938,-0.070489329251157,-0.033720654969295
0.14,-0.03164,-0.072801142961801,-0.034802303426231
0.15,-0.0339,-0.075085803891223,-0.035869448685353
0.16,-0.03616,-0.077347137161735,-0.036923947684855
0.17,-0.03842,-0.0795883797958,-0.037967371741912
0.18,-0.04068,-0.081812294525549,-0.039001061775786
0.19,-0.04294,-0.084021257641977,-0.040026170938301
0.2,-0.0452,-0.086049692113175,-0.040963641566332
0.21,-0.04746,-0.087960988407773,-0.041843904842909
0.22,-0.04972,-0.089764380632107,-0.042671990629555
0.23,-0.05198,-0.10628701250039,-0.050614347999949
0.24,-0.05424,-0.12525635950962,-0.059732437330971
0.25,-0.0565,-0.1435993322489,-0.068540590460502
0.26,-0.05876,-0.16128625436385,-0.077023790806514
0.27,-0.06102,-0.1783339781879,-0.085189479376975
0.28,-0.06328,-0.1947960118342,-0.093062892408913
0.29,-0.06554,-0.21074774640837,-0.10067998338725
0.3,-0.0678,-0.22621316887998,-0.10805183183502
0.31,-0.07006,-0.24015262401962,-0.11467855021527
0.32,-0.07232,-0.25183776388494,-0.120211008115
0.33,-0.07458,-0.26296624680595,-0.12546662899625
0.34,-0.07684,-0.27303030728455,-0.1302016697005
0.35,-0.0791,-0.28172619188826,-0.1342707422503
0.36,-0.08136,-0.29001670733328,-0.13813688466731
0.37,-0.08362,-0.29807486076765,-0.14188424051942
0.38,-0.08588,-0.30575374514381,-0.14544208091331
0.39,-0.08814,-0.31288965261549,-0.14873077448437
0.4,-0.0904,-0.31975138424653,-0.15188077143053
0.41,-0.09266,-0.32631716898539,-0.15488175830256
0.42,-0.09492,-0.33266813090287,-0.15777354018302
0.43,-0.09718,-0.33880724794042,-0.16055752555558
0.44,-0.09944,-0.35907704440821,-0.17016860702269
0.45,-0.1017,-0.38345971907115,-0.18176159980998
0.46,-0.10396,-0.40751357543419,-0.19318820070555
0.47,-0.10622,-0.4308422031444,-0.20425588508493
0.48,-0.10848,-0.45341028753438,-0.21494661195444
0.49,-0.11074,-0.47471985292972,-0.22501769638718
0.5,-0.113,-0.49425775982498,-0.23422008464874
0.51,-0.11526,-0.51262897409079,-0.2428471233278
0.52,-0.11752,-0.53202942889069,-0.25195759883897
0.53,-0.11978,-0.56435603247735,-0.26728518731467
0.54,-0.12204,-0.59533051104897,-0.28194187925354
0.55,-0.1243,-0.62503700944216,-0.29596765645239
