time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.00226,-0.0018120607377878,-0.0008667208807716
0.02,-0.00452,-0.0022087655173733,-0.0010559252270497
0.03,-0.00678,-0.0025833247680584,-0.0012343170626791
0.04,-0.00904,-0.0028486677077708,-0.0013601695996588
0.05,-0.0113,-0.0031040456294151,-0.0014810495706792
0.06,-0.01356,-0.0054333633196811,-0.0025952673537133
0.07,-0.01582,-0.0077525640898348,-0.0037039247686136
0.08,-0.01808,-0.011219138187905,-0.005360868009809
0.09,-0.02034,-0.014427711531896,-0.0068929696272821
0.1,-0.0226,-0.01685283478785,-0.0080487525893524
0.11,-0.02486,-0.018444495094453,-0.0088046351587613
0.12,-0.02712,-0.020451769958697,-0.0097586644980734
0.13,-0.02938,-0.028468800383834,-0.013587670764281
0.14,-0.03164,-0.037967132626186,-0.018122032957721
0.15,-0.0339,-0.046853887367459,-0.022359776017748
0.16,-0.03616,-0.054831117857869,-0.026157952207733
0.17,-0.03842,-0.061271729041695,-0.029216702037533
0.18,-0.04068,-0.066426637784795,-0.031656439404615
0.19,-0.04294,-0.070762669991548,-0.033700660805035
0.2,-0.0452,-0.076761714481959,-0.036537984850961
0.21,-0.04746,-0.085659723005653,-0.040759981784899
0.22,-0.04972,-0.094064978994033,-0.044742056788143
0.23,-0.05198,-0.10133058263748,-0.048174448111312
0.24,-0.05424,-0.10747350135918,-0.051065113512217
0.25,-0.0565,-0.11350412705718,-0.053897337094034
0.26,-0.05876,-0.12017334782858,-0.057032830908554
0.27,-0.06102,-0.13332357607913,-0.063268482166218
0.28,-0.06328,-0.14694348058141,-0.069721629900256
0.29,-0.06554,-0.16060640040785,-0.076188290247431
0.3,-0.0678,-0.17294535040006,-0.082015127656234
0.31,-0.07006,-0.18378959157962,-0.087120397249337
0.32,-0.07232,-0.19305205119203,-0.09146239210149
0.33,-0.07458,-0.20332672218929,-0.096283955974617
0.34,-0.07684,-0.21426280663495,-0.10141650193907
0.35,-0.0791,-0.22612971190579,-0.10698807278351
0.36,-0.08136,-0.23787273205576,-0.11249360434019
0.37,-0.08362,-0.24785153826762,-0.11714830203457
0.38,-0.08588,-0.25611347936582,-0.12097480906299
0.385,-0.08701,-0.25979746411002,-0.12267192319647
0.395,-0.08927,-0.2760643925855,-0.13032544245506
0.405,-0.09153,-0.29306479492922,-0.13832268054314
0.415,-0.09379,-0.30886477988711,-0.14573801280237
0.425,-0.09605,-0.32302137365962,-0.15235897376096
0.435,-0.09831,-0.33895948305151,-0.15982770756959
0.445,-0.10057,-0.35357630594714,-0.16665649640489
0.455,-0.10283,-0.36770525669638,-0.17324422689984
0.465,-0.10509,-0.38365616190102,-0.18069645058185
0.475,-0.10735,-0.39880986539491,-0.18775854268808
0.485,-0.10961,-0.41277969162104,-0.19424608787546
0.495,-0.11187,-0.42770015034131,-0.20118104155644
0.505,-0.11413,-0.44132850262367,-0.20748944101855
0.515,-0.11639,-0.4575901790859,-0.21505099997073
0.525,-0.11865,-0.47648606425291,-0.22386578590789
0.535,-0.12091,-0.49494306478122,-0.23246166872618
0.545,-0.12317,-0.51333001673942,-0.2410159138704
0.555,-0.12543,-0.53055704597056,-0.24900645238539
0.565,-0.12769,-0.54667156501085,-0.25645538922982
0.575,-0.12995,-0.56273923059952,-0.26387219616878
0.585,-0.13221,-0.57940222646702,-0.27156679096508
0.595,-0.13447,-0.59723361564922,-0.27981281809209
0.605,-0.13673,-0.61472175449778,-0.28788440064532
0.615,-0.13899,-0.63108319169233,-0.29540821558513
0.625,-0.14125,-0.65011144341026,-0.3042005811771
0.635,-0.14351,-0.66857514363086,-0.31271404428048
0.645,-0.14577,-0.68580203035533,-0.32062620980667
0.655,-0.14803,-0.70192290249469,-0.32799961398511
0.665,-0.15029,-0.71646348540948,-0.33460764119633
0.675,-0.15255,-0.73548107485864,-0.3433497464771
0.685,-0.15481,-0.75623199994447,-0.35291193482787
0.695,-0.15707,-0.77436824310093,-0.36121342944862
0.705,-0.15933,-0.79279289122004,-0.36964429138401
0.715,-0.16159,-0.82085533136173,-0.38267771788433
0.725,-0.16385,-0.84860498062948,-0.39554827637661
0.735,-0.16611,-0.87505404278273,-0.4077848720759
0.745,-0.16837,-0.90157709592125,-0.4200455790294
0.755,-0.17063,-0.92636943383558,-0.43146301620763
0.765,-0.17289,-0.94899655696682,-0.44183067852536
0.775,-0.17515,-0.97213999620724,-0.4524366631103
0.785,-0.17741,-0.9945008546237,-0.46265633110209
0.795,-0.17967,-1.0185135660519,-0.47365395877307
0.805,-0.18193,-1.0422154234269,-0.48449159497848
0.815,-0.18419,-1.0677996095455,-0.49622022380221
0.825,-0.18645,-1.0951981297991,-0.50880405821635
0.835,-0.18871,-1.1243538055847,-0.52221592145433
0.845,-0.19097,-1.1537179266614,-0.53571213538634
0.855,-0.19323,-1.1828577305203,-0.54908997892669
0.865,-0.19549,-1.2095762728676,-0.56129519817233
0.875,-0.19775,-1.2354238424389,-0.57307134064796
0.885,-0.20001,-1.2605273396353,-0.58447814595635
0.895,-0.20227,-1.2844099481725,-0.59528641580142
0.905,-0.20453,-1.3089281131083,-0.60638895086593
0.915,-0.20679,-1.33797783944,-0.61965256891839
0.925,-0.20905,-1.3671671224283,-0.63296862524072
0.935,-0.21131,-1.3954050178316,-0.64581444323296
0.945,-0.21357,-1.4257244499394,-0.65963801929054
0.955,-0.21583,-1.4558913110324,-0.67337375348861
0.965,-0.21809,-1.483745198545,-0.68598847066909
0.975,-0.22035,-1.5125998490489,-0.69906465725514
0.985,-0.22261,-1.5391826009377,-0.71103671171092
0.995,-0.22487,-1.5638582307038,-0.72207940445439
1.005,-0.22374,-1.5284800899515,-0.70581299628422
1.015,-0.21922,-1.386982612298,-0.64065628087203
1.025,-0.2147,-1.2462058364614,-0.57567300869265
1.035,-0.21018,-1.1112363040686,-0.51334360883433
1.045,-0.20566,-0.9781225945797,-0.45174769783195
1.055,-0.20114,-0.84655065713923,-0.39075483524361
1.065,-0.19662,-0.72278902912212,-0.33344172375145
1.075,-0.1921,-0.60599388167382,-0.27936761882504
1.085,-0.18758,-0.4943770933497,-0.22768630850405
1.095,-0.18306,-0.38783788247606,-0.17833022443939
1.105,-0.17854,-0.29675227845604,-0.13629616629607
1.115,-0.17402,-0.21193453232844,-0.097209994681697
1.125,-0.1695,-0.13582778389564,-0.062197175721998
1.135,-0.16498,-0.071328894957643,-0.032637815410303
1.145,-0.16046,-0.020711812665072,-0.0095485403751858
1.155,-0.15594,5.6185660719574e-14,-0.00018326937484832
1.165,-0.15142,-8.2452431723044e-14,-0.00018326938050258
1.175,-0.1469,-1.5302234602531e-13,-0.00018326938621095
1.185,-0.14238,2.4442316435775e-13,-0.0001832693919193
1.195,-0.13786,2.0626573912326e-13,-0.00018326939762732
1.205,-0.13334,5.5037502477373e-14,-0.00018326940333602
1.215,-0.12882,5.6012572522593e-13,-0.00018326940904449
1.225,-0.1243,4.2586772210401e-13,-0.00018326941475242
1.235,-0.11978,3.1961090217692e-13,-0.00018326942046078
1.245,-0.11526,5.2293487342799e-13,-0.00018326942616895
1.255,-0.11074,6.8135764614455e-13,-0.00018326943187696
1.265,-0.10622,5.4403715135612e-13,-0.00018326943758538
1.275,-0.1017,7.2802095378901e-13,-0.00018326944329359
1.285,-0.09718,9.0112878795762e-13,-0.00018326944900237
1.295,-0.09266,7.7152965069877e-13,-0.00018326945471095
1.305,-0.08814,6.3481117970715e-13,-0.00018326946041953
1.315,-0.08362,1.087783660297e-12,-0.00018326946612784
1.325,-0.0791,9.6957413186993e-13,-0.00018326947183647
