time,disp_y_top,h,react_y_top,stress_yy
0,0,0,0,0
0.01,-0.002,0.0908271684945,-0.0059311076832816,-0.0004716823432483
0.02,-0.004,0.0908271684945,-0.012874778435262,-0.0010236695769032
0.03,-0.006,0.0908271684945,-0.019990330098488,-0.0015887904572958
0.04,-0.008,0.0908271684945,-0.026624437979896,-0.0021150632278123
0.05,-0.01,0.0908271684945,-0.035037894054348,-0.00278251291626
0.06,-0.012,0.0908271684945,-0.042054576787976,-0.0033381954143448
0.07,-0.014,0.0908271684945,-0.050124965457787,-0.0039772104649533
0.08,-0.016,0.0908271684945,-0.061095871362789,-0.0048467787409698
0.09,-0.018,0.0908271684945,-0.06836047304383,-0.0054202634993524
0.1,-0.02,0.0908271684945,-0.081981114580375,-0.0064997954713346
0.11,-0.022,0.0908271684945,-0.090087538186829,-0.0071387670225118
0.12,-0.024,0.0908271684945,-0.10523896482042,-0.008338906104931
0.13,-0.026,0.0908271684945,-0.11682422892231,-0.0092536146219178
0.14,-0.028,0.0908271684945,-0.13108622211578,-0.010380924711181
0.15,-0.03,0.0908271684945,-0.14490635099775,-0.011472106166546
0.16,-0.032,0.0908271684945,-0.15689951911784,-0.012416445868714
0.17,-0.034,0.0908271684945,-0.1762706253839,-0.013948732039672
0.18,-0.036,0.0908271684945,-0.18702361725245,-0.014791850328603
0.19,-0.038,0.0908271684945,-0.20943689408857,-0.016565065831734
0.2,-0.04,0.0908271684945,-0.22279752860306,-0.017613825117321
0.21,-0.042,0.0908271684945,-0.24470772350369,-0.019344289359183
0.22,-0.044,0.0908271684945,-0.26253036629068,-0.02074701893559
0.23,-0.046,0.0908271684945,-0.28035463852414,-0.02214814854779
0.24,-0.048,0.0908271684945,-0.30293308466594,-0.023928159837604
0.25,-0.05,0.0908271684945,-0.31835196186071,-0.025134388305184
0.255,-0.051,0.0908271684945,-0.33588443347476,-0.026522501587532
0.265,-0.053,0.0908271684945,-0.35646607856762,-0.028139125331295
0.275,-0.055,0.0908271684945,-0.37588591925235,-0.029660826530572
0.28,-0.056,0.0908271684945,-0.39015123348425,-0.030786177468022
0.29,-0.058,0.0908271684945,-0.41248508637594,-0.032538665394427
0.3,-0.06,0.0908271684945,-0.43728168075142,-0.0344859187126
0.31,-0.062,0.0908271684945,-0.46075175729101,-0.036326007109566
0.32,-0.064,0.0908271684945,-0.47685871221612,-0.037574822817652
0.33,-0.066,0.0908271684945,-0.52104427142449,-0.041067578506528
0.34,-0.068,0.0908271684945,-0.54944390554179,-0.043298788331434
0.35,-0.07,0.0908271684945,-0.56634446080859,-0.044604478315081
0.36,-0.072,0.0908271684945,-0.59881879517061,-0.047154562110638
0.37,-0.074,0.0908271684945,-0.6147163587663,-0.048375611887374
0.38,-0.076,0.0908271684945,-0.67267677160221,-0.052963543930478
0.39,-0.078,0.0908271684945,-0.69304649307711,-0.054539542010511
0.4,-0.08,0.0908271684945,-0.73003312895358,-0.05744249008648
0.41,-0.082,0.0908271684945,-0.74293566493616,-0.058412624499228
0.42,-0.084,0.0908271684945,-0.78713236520631,-0.061887596854165
0.43,-0.086,0.0908271684945,-0.82611409978427,-0.064947006041556
0.44,-0.088,0.0908271684945,-0.86873441554374,-0.068292213542497
0.45,-0.09,0.0908271684945,-0.88953775205988,-0.069886620272022
0.46,-0.092,0.0908271684945,-0.90753202999934,-0.071251278927291
0.47,-0.094,0.0908271684945,-0.9779372971813,-0.076818079037308
0.48,-0.096,0.0908271684945,-1.0057665768423,-0.078969726031889
0.49,-0.098,0.0908271684945,-1.0487268610677,-0.08232945183481
0.5,-0.1,0.0908271684945,-1.0645341870034,-0.083506705492757
0.51,-0.102,0.0908271684945,-1.1136167824385,-0.08735013683596
0.52,-0.104,0.0908271684945,-1.1629249454677,-0.091215429944625
0.53,-0.106,0.0908271684945,-1.2108435750529,-0.094961937005562
