time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.002,-0.0027086076701966,-0.00021545665273434
0.02,-0.004,-0.008421312841698,-0.00066958746557503
0.03,-0.006,-0.015544407631955,-0.0012354532953563
0.04,-0.008,-0.021309106674192,-0.0016927425165928
0.05,-0.01,-0.02786100029979,-0.0022121907554713
0.06,-0.012,-0.036602634491056,-0.0029051616145751
0.07,-0.014,-0.042632445084193,-0.0033819297854849
0.08,-0.016,-0.054646901305089,-0.0043339328298658
0.09,-0.018,-0.062645694116961,-0.0049659155894591
0.1,-0.02,-0.071015340642394,-0.0056267117859993
0.11,-0.022,-0.084035030969853,-0.0066564510332098
0.12,-0.024,-0.093062741135948,-0.0073680273829023
0.13,-0.026,-0.10451462368769,-0.0082715321222534
0.14,-0.028,-0.11842812457074,-0.0093698482641406
0.15,-0.03,-0.12854460164818,-0.01016542255784
0.16,-0.032,-0.14372941286389,-0.011362969637233
0.17,-0.034,-0.15822456368097,-0.012504699421443
0.18,-0.036,-0.16935088103344,-0.013377612424008
0.19,-0.038,-0.1886654645824,-0.014900335599637
0.2,-0.04,-0.20351909982055,-0.016067376343481
0.21,-0.042,-0.21777953969476,-0.017186031026772
0.22,-0.044,-0.2386342284827,-0.018827629086109
0.23,-0.046,-0.25415380264249,-0.020043977110821
0.24,-0.048,-0.27263451778724,-0.021494270853107
0.25,-0.05,-0.2938288533829,-0.023158944365799
0.26,-0.052,-0.31021155104543,-0.024439842711905
0.27,-0.054,-0.33341348365304,-0.026261116005652
0.28,-0.056,-0.35464627842833,-0.027924561328876
0.29,-0.058,-0.37209028848728,-0.029285350902792
0.3,-0.06,-0.39989346569231,-0.031467731095144
0.31,-0.062,-0.42110903572649,-0.033125082700832
0.32,-0.064,-0.44329695976595,-0.034857865578293
0.33,-0.066,-0.47110194473333,-0.037035350475125
0.34,-0.068,-0.49298827194726,-0.038740855299504
0.35,-0.07,-0.52037992591029,-0.040881727129904
0.36,-0.072,-0.54780936931681,-0.043023981661304
0.37,-0.074,-0.57043736627057,-0.044782798471958
0.38,-0.076,-0.60566852303512,-0.047540669753645
0.39,-0.078,-0.63568201943212,-0.049882146179682
0.4,-0.08,-0.66067428085073,-0.051822611452144
0.41,-0.082,-0.68286778585142,-0.053538377995821
0.42,-0.084,-0.70814396992369,-0.05549683277228
0.43,-0.086,-0.75072657509869,-0.058828494145105
0.44,-0.088,-0.78764340336933,-0.061707559075443
0.45,-0.09,-0.81749824407913,-0.064023565126569
0.46,-0.092,-0.84394006028641,-0.066065833710934
0.47,-0.094,-0.8678361538943,-0.067903221632815
0.48,-0.096,-0.91367857943531,-0.071482019851437
0.49,-0.098,-0.95745092283585,-0.074893445392763
0.5,-0.1,-0.99269540674079,-0.077625380816979
0.51,-0.102,-1.0237083433055,-0.080018373557736
0.52,-0.104,-1.0518169105892,-0.082177782884957
0.53,-0.106,-1.0926779174929,-0.085347347388654
0.54,-0.108,-1.1425670030797,-0.089231205528874
0.55,-0.11,-1.1842153422218,-0.092458211359918
0.56,-0.112,-1.2199188096411,-0.095210206311409
0.57,-0.114,-1.252084715716,-0.097677881457003
0.58,-0.116,-1.2891018949136,-0.10052755781501
0.59,-0.118,-1.345089885869,-0.10488071173309
0.6,-0.12,-1.3934029661816,-0.10862167387414
0.61,-0.122,-1.4340211326306,-0.11174905273408
0.62,-0.124,-1.4705119894483,-0.11454523995019
0.63,-0.126,-1.5039152187959,-0.1170925600396
0.64,-0.128,-1.5647070800543,-0.12181127554393
0.65,-0.13,-1.6190369475606,-0.12601357852271
0.66,-0.132,-1.6649517384285,-0.12954513340847
0.67,-0.134,-1.7062196886897,-0.1327039158886
0.68,-0.136,-1.7439066346709,-0.13557457485423
0.69,-0.138,-1.804003412314,-0.14022027485909
0.7,-0.14,-1.8705057191579,-0.14536983045294
0.71,-0.142,-1.928806467793,-0.14986517868096
0.72,-0.144,-1.9783717719788,-0.15366420524254
0.73,-0.146,-2.0237765155548,-0.15712873809216
0.74,-0.148,-2.0658215762858,-0.16032216444501
0.75,-0.15,-2.105368167885,-0.16331308682083
0.76,-0.152,-2.1425975263501,-0.16611582262955
0.77,-0.154,-2.1781164858156,-0.16877880039636
0.78,-0.156,-2.2375583608038,-0.17333818331408
0.79,-0.158,-2.3190051163415,-0.17964143398144
0.8,-0.16,-2.3971435480091,-0.18567613277586
0.81,-0.162,-2.4679854939657,-0.19112735399272
0.82,-0.164,-2.5294943656855,-0.19583486323464
0.83,-0.166,-2.5843744741933,-0.20001243501493
0.84,-0.168,-2.6348989289678,-0.20383954017979
0.85,-0.17,-2.6820658919061,-0.20739542083591
0.86,-0.172,-2.7266294999889,-0.21073989634388
0.87,-0.174,-2.7689856248209,-0.21390413024565
0.88,-0.176,-2.8119281761724,-0.21711017206564
0.89,-0.178,-2.9042646683457,-0.22423492308077
0.9,-0.18,-2.9930737283856,-0.23107305022522
0.91,-0.182,-3.0759561963013,-0.23743563669745
0.92,-0.184,-3.1508745179134,-0.24316190896327
0.93,-0.186,-3.2162467555273,-0.24812748797872
0.94,-0.188,-3.2770487437224,-0.25272522609972
0.95,-0.19,-3.333767719406,-0.25699346093666
0.96,-0.192,-3.3868335582968,-0.26096674310523
0.97,-0.194,-3.4368894545868,-0.26469575335238
0.98,-0.196,-3.4846359425514,-0.26823611452102
0.99,-0.198,-3.5611730991966,-0.27405682942131
1,-0.2,-3.6660653126302,-0.28212274810853
1.01,-0.196,-3.3250863810616,-0.25593162677622
1.02,-0.192,-3.0223347839597,-0.23279659027378
1.03,-0.188,-2.720420285546,-0.20966331788617
1.04,-0.184,-2.4192350527185,-0.18652348358818
1.05,-0.18,-2.1187809360434,-0.16337774457868
1.06,-0.176,-1.8261816114828,-0.14080723553005
1.07,-0.172,-1.5606804719667,-0.12039008150015
1.08,-0.168,-1.2963899391086,-0.10001210359611
1.09,-0.164,-1.0426379698796,-0.080430698657598
1.1,-0.16,-0.81340583016771,-0.062785063125469
1.11,-0.156,-0.59213120238539,-0.045729641690094
1.12,-0.152,-0.39306121209378,-0.030412245941068
1.13,-0.148,-0.21782997272999,-0.016958827485728
1.14,-0.144,-0.074997857994938,-0.00603172917261
1.15,-0.14,1.8215229887819e-13,-0.00032224563906189
1.16,-0.136,-1.8438523588938e-12,-0.00032224564654246
1.17,-0.132,-3.1615573708984e-12,-0.00032224565539977
1.18,-0.128,-5.3542269905819e-12,-0.00032224566381294
1.19,-0.124,-7.2856490689161e-12,-0.00032224567293913
1.2,-0.12,-8.8165534555674e-12,-0.00032224568095066
1.21,-0.116,-9.8307822339509e-12,-0.00032224568984507
1.22,-0.112,-1.1202053305667e-11,-0.00032224569785659
1.23,-0.108,-1.2723182732207e-11,-0.00032224570700377
1.24,-0.104,-1.4202528065387e-11,-0.00032224571541695
1.25,-0.1,-1.5739472501684e-11,-0.00032224572405781
1.26,-0.096,-1.7251746115539e-11,-0.00032224573206934
1.27,-0.092,-1.838383457572e-11,-0.00032224574187706
1.28,-0.088,-1.9903163608108e-11,-0.00032224574988855
1.29,-0.084,-2.1088642312547e-11,-0.00032224575838125
1.3,-0.08,-2.1861247833155e-11,-0.00032224576679442
1.31,-0.076,-2.4105739502629e-11,-0.00032224577594159
1.32,-0.072,-2.5638155483737e-11,-0.00032224578395313
1.33,-0.068,-2.7657153961637e-11,-0.00032224579299422
1.34,-0.064,-2.895280815095e-11,-0.00032224580100579
1.35,-0.06,-3.0477609775119e-11,-0.00032224581040448
1.36,-0.056,-3.2488959521153e-11,-0.00032224581881769
1.37,-0.052,-3.4040279752984e-11,-0.00032224582731035
1.38,-0.048,-3.5550366903753e-11,-0.00032224583532186
1.39,-0.044,-3.7560234165735e-11,-0.00032224584487074
1.4,-0.04,-3.9096490022479e-11,-0.0003222458528823
1.41,-0.036,-4.0590911969102e-11,-0.00032224586152164
1.42,-0.032,-4.283049957425e-11,-0.00032224586993482
1.43,-0.028,-4.4370700830629e-11,-0.00032224587933353
1.44,-0.024,-4.6605504188285e-11,-0.00032224588734503
1.45,-0.02,-4.8837624222221e-11,-0.00032224589623944
1.46,-0.016,-5.1075666748217e-11,-0.00032224590425098
1.47,-0.012,-5.3311987406368e-11,-0.00032224591339815
1.48,-0.0079999999999996,-5.5549031848243e-11,-0.00032224592181132
1.49,-0.0039999999999996,-5.7786347684344e-11,-0.00032224593045069
