time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.00226,-0.0056003436833213,-0.00044551103445061
0.02,-0.00452,-0.01476496824126,-0.0011740370060116
0.03,-0.00678,-0.0271903927375,-0.0021611357782956
0.04,-0.00904,-0.039753843895124,-0.0031581448941287
0.05,-0.0113,-0.055910621791712,-0.0044398556962856
0.06,-0.01356,-0.071067549658874,-0.0056407353112435
0.07,-0.01582,-0.08750173207403,-0.0069418728234389
0.08,-0.01808,-0.10634832509999,-0.0084334892731246
0.09,-0.02034,-0.1260432117893,-0.0099909525041925
0.1,-0.0226,-0.14977016760186,-0.011867523747423
0.11,-0.02486,-0.17257707202378,-0.01366910771174
0.12,-0.02712,-0.19698314604085,-0.015595973244502
0.13,-0.02938,-0.22416957037195,-0.017742029090014
0.14,-0.03164,-0.25177112622108,-0.019918838088177
0.15,-0.0339,-0.28457787199663,-0.022507412928432
0.16,-0.03616,-0.3157456786395,-0.024963152965084
0.17,-0.03842,-0.34902457463571,-0.027584215406139
0.18,-0.04068,-0.38483356537979,-0.03040388381455
0.19,-0.04294,-0.41988317146739,-0.033160180206165
0.2,-0.0452,-0.46254052841622,-0.036518636544229
0.21,-0.04746,-0.5024208938498,-0.03965296823534
0.22,-0.04972,-0.5454867477924,-0.043037345608313
0.23,-0.05198,-0.58980912998399,-0.046518333082838
0.24,-0.05424,-0.6341723458328,-0.049998870459083
0.25,-0.0565,-0.68467482107307,-0.053964002072794
0.26,-0.05876,-0.73371099510582,-0.057808517394119
0.27,-0.06102,-0.78796555412203,-0.06206382547393
0.28,-0.06328,-0.84101949478441,-0.066219501762305
0.29,-0.06554,-0.8958274759181,-0.070510242167889
0.3,-0.0678,-0.95390898784878,-0.075056926373349
0.31,-0.07006,-1.0104323655337,-0.079474872763211
0.32,-0.07232,-1.0764194569963,-0.084640416738154
0.33,-0.07458,-1.1382934585085,-0.089473832361543
0.34,-0.07684,-1.2047588572015,-0.094666933979602
0.35,-0.0791,-1.2722095970611,-0.09993316830172
0.36,-0.08136,-1.3369626324206,-0.10497937423392
0.37,-0.08362,-1.4034420437057,-0.11015703111755
0.38,-0.08588,-1.488514603657,-0.11680700254058
0.39,-0.08814,-1.5576490240985,-0.12218476464798
0.4,-0.0904,-1.6362523960885,-0.12830777897691
0.41,-0.09266,-1.7055663204806,-0.133686714743
0.42,-0.09492,-1.7914918639515,-0.14037926736553
0.43,-0.09718,-1.8804257821348,-0.14730509564474
0.44,-0.09944,-1.9585961284391,-0.15336888612444
0.45,-0.1017,-2.0479194364884,-0.16031110313971
0.46,-0.10396,-2.1213724520635,-0.16598562111379
0.47,-0.10622,-2.2277538562036,-0.17426953793961
0.48,-0.10848,-2.3186016887625,-0.18131276793916
0.49,-0.11074,-2.4111791905711,-0.18848477406976
0.5,-0.113,-2.5035447650061,-0.19563214498186
0.51,-0.11526,-2.592670249416,-0.20251401153378
0.52,-0.11752,-2.7084332963381,-0.2115045572963
0.53,-0.11978,-2.8022025327733,-0.21874122750955
0.54,-0.12204,-2.9107212468681,-0.22713983989701
0.55,-0.1243,-3.0055093080332,-0.23443972014092
0.56,-0.12656,-3.115673413468,-0.24295172789091
0.57,-0.12882,-3.2334254102075,-0.2520584180028
0.58,-0.13108,-3.3371000839928,-0.26003830246354
0.59,-0.13334,-3.4542841820589,-0.26908130413197
0.6,-0.1356,-3.5525701854933,-0.27661473536486
0.61,-0.13786,-3.6862996107577,-0.28695372403672
0.62,-0.14012,-3.8037804414898,-0.29599420988177
0.63,-0.14238,-3.9250070056094,-0.30532090791997
0.64,-0.14464,-4.0504042023252,-0.3149684988638
0.65,-0.1469,-4.1586001952084,-0.32324069599926
0.66,-0.14916,-4.2545955419571,-0.3305330966374
0.67,-0.15142,-4.3854922840768,-0.34058816436119
0.68,-0.15368,-4.5523528977137,-0.35349080907536
0.69,-0.15594,-4.7028077280458,-0.36508030174515
0.7,-0.1582,-4.8334289654108,-0.37508525341745
0.71,-0.16046,-4.9503299438471,-0.38398875848817
0.72,-0.16272,-5.0740589853037,-0.39342119817447
0.73,-0.16498,-5.2278215381825,-0.40522611428609
0.74,-0.16724,-5.3601987704681,-0.41532368488167
0.75,-0.1695,-5.4783576122657,-0.42428019103209
0.76,-0.17176,-5.5895371436816,-0.43266955741532
0.77,-0.17402,-5.7834029739861,-0.44761831158001
0.78,-0.17628,-5.9648662087814,-0.46156850664298
0.79,-0.17854,-6.117126549601,-0.4731917063097
0.8,-0.1808,-6.2519481837664,-0.48341749538182
