time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.00226,-0.0028890405734615,-0.0013777757094866
0.02,-0.00452,-0.0033169594956336,-0.0015805787456466
0.03,-0.00678,-0.0036068398024154,-0.0017172880347812
0.04,-0.00904,-0.0038770280821206,-0.0018443997876909
0.05,-0.0113,-0.0056753841486215,-0.0027015592706841
0.06,-0.01356,-0.0094283131389242,-0.0044915749327506
0.07,-0.01582,-0.011587476319142,-0.0055184988732305
0.08,-0.01808,-0.01580522675116,-0.0075268416160097
0.09,-0.02034,-0.018616237865571,-0.0088610296690875
0.1,-0.0226,-0.020121824944565,-0.0095701884049792
0.11,-0.02486,-0.021329964649156,-0.010136173194084
0.12,-0.02712,-0.023791492097401,-0.01130034232577
0.13,-0.02938,-0.030619375840438,-0.014549288442652
0.14,-0.03164,-0.037311495375193,-0.017731076958632
0.15,-0.0339,-0.041890752926751,-0.01990073339391
0.16,-0.03616,-0.045097107021025,-0.021411726846142
0.17,-0.03842,-0.047662342600235,-0.022613839924034
0.18,-0.04068,-0.049840771540936,-0.023628978483245
0.19,-0.04294,-0.055216991729115,-0.026171180140464
0.2,-0.0452,-0.064303300964182,-0.030484516563398
0.21,-0.04746,-0.070441806153635,-0.03338576857345
0.22,-0.04972,-0.074545126303142,-0.035310668696666
0.23,-0.05198,-0.079724504626565,-0.037746229273063
0.24,-0.05424,-0.083781025890583,-0.039643096109762
0.25,-0.0565,-0.087982843211648,-0.041607077331576
0.26,-0.05876,-0.097759282267497,-0.046234304729128
0.27,-0.06102,-0.10637380038214,-0.050301815730457
0.28,-0.06328,-0.11533379954641,-0.054530879390102
0.29,-0.06554,-0.12235343299374,-0.057828942991588
0.3,-0.0678,-0.12761784201734,-0.060283560112718
0.31,-0.07006,-0.13190889878264,-0.062268204690268
0.32,-0.07232,-0.14103016882863,-0.06655969496932
0.33,-0.07458,-0.15218240596362,-0.071818873036914
0.34,-0.07684,-0.16219388495292,-0.076527520839019
0.35,-0.0791,-0.16926732173659,-0.079826770468355
0.36,-0.08136,-0.17484655597095,-0.082405607303474
0.37,-0.08362,-0.18035814050629,-0.08494757967562
0.38,-0.08588,-0.19230698321698,-0.090567055255948
0.39,-0.08814,-0.20418575440348,-0.096149335949293
0.4,-0.0904,-0.21465282546969,-0.1010500514108
0.41,-0.09266,-0.22310961704147,-0.10498287724351
0.42,-0.09492,-0.23293955783705,-0.10956962026667
0.43,-0.09718,-0.24179343572386,-0.11368440063028
0.44,-0.09944,-0.25449551126027,-0.11963567088813
0.45,-0.1017,-0.26615193299435,-0.12508045062884
0.46,-0.10396,-0.27625603854411,-0.12977756465316
0.47,-0.10622,-0.28858093053542,-0.13553030813965
0.48,-0.10848,-0.29792664851161,-0.13985029511527
0.49,-0.11074,-0.30887196713137,-0.1449306671596
0.5,-0.113,-0.32014845675488,-0.15016240221716
0.51,-0.11526,-0.33413302878054,-0.15668683517761
0.52,-0.11752,-0.34550606382764,-0.16195626820788
0.53,-0.11978,-0.35694956472042,-0.16725052016322
0.54,-0.12204,-0.37053081033463,-0.17355957264196
0.55,-0.1243,-0.38376037488525,-0.17969806669255
0.56,-0.12656,-0.39815536505631,-0.18639006609689
0.57,-0.12882,-0.41317654963829,-0.19337135702595
0.58,-0.13108,-0.42433266066812,-0.19849351167541
0.59,-0.13334,-0.43954507710719,-0.20555384103785
0.6,-0.1356,-0.45502197070333,-0.21273738504524
0.61,-0.13786,-0.46681195051015,-0.21814585230486
0.62,-0.14012,-0.47647290671174,-0.22252414158703
0.63,-0.14238,-0.49370110015794,-0.2305178909953
0.64,-0.14464,-0.51252879621924,-0.23927120366196
0.65,-0.1469,-0.52689831587506,-0.24588044659962
0.66,-0.14916,-0.53947688360229,-0.25162453852706
0.67,-0.15142,-0.55810182881211,-0.26025674582476
0.68,-0.15368,-0.5771453580021,-0.26908032909548
0.69,-0.15594,-0.59271961166075,-0.27623350565933
0.7,-0.1582,-0.60964039968891,-0.28402898288557
0.71,-0.16046,-0.62342614746881,-0.29031085251597
0.72,-0.16272,-0.63830608751262,-0.29710956762531
0.73,-0.16498,-0.65498811998496,-0.30476747923564
0.74,-0.16724,-0.66929445513783,-0.31127700425467
0.75,-0.1695,-0.68300373795682,-0.31749231635553
0.76,-0.17176,-0.70145303847868,-0.32596745341013
0.77,-0.17402,-0.71942342508121,-0.33420634249801
0.78,-0.17628,-0.73550715937713,-0.34153422428025
0.79,-0.17854,-0.7551814227399,-0.35055798403506
0.8,-0.1808,-0.77668664834819,-0.3604515846083
0.81,-0.18306,-0.79604320596839,-0.3693100166137
0.82,-0.18532,-0.81218314519366,-0.376615308523
0.83,-0.18758,-0.82965993619495,-0.38455718598723
0.84,-0.18984,-0.84738026037656,-0.39260055598836
0.85,-0.1921,-0.87695354719509,-0.40631518611294
0.86,-0.19436,-0.90318377110713,-0.41842022572347
0.87,-0.19662,-0.92589143617788,-0.42882645191391
0.88,-0.19888,-0.94647928584307,-0.43820544773287
0.89,-0.20114,-0.96643826733465,-0.44727364647619
0.9,-0.2034,-0.98338017123864,-0.45487954325611
0.91,-0.20566,-1.0000511451091,-0.4623437458096
0.92,-0.20792,-1.0153965950618,-0.46915850744296
0.93,-0.21018,-1.0298348280622,-0.47552609633961
0.94,-0.21244,-1.0493878248613,-0.48434561232162
0.95,-0.2147,-1.0667803338524,-0.49211654167396
0.96,-0.21696,-1.0888834191467,-0.50213963536995
0.97,-0.21922,-1.1140586555687,-0.51362731838881
0.98,-0.22148,-1.137311484641,-0.52418475932723
0.99,-0.22374,-1.1582754097628,-0.53363407618943
1,-0.226,-1.1776339523249,-0.54230156309032
1.01,-0.22148,-1.0196212830494,-0.46948771628278
1.02,-0.21696,-0.86263692644853,-0.39693961935645
1.03,-0.21244,-0.71079196294257,-0.32672300858217
1.04,-0.20792,-0.56507511175787,-0.25936521706272
1.05,-0.2034,-0.4268520372956,-0.1954732068545
1.06,-0.19888,-0.30301448900506,-0.138407180122
1.07,-0.19436,-0.1929994162622,-0.087899768344062
1.08,-0.18984,-0.10011914782109,-0.04549641149001
1.09,-0.18532,-0.028196280921019,-0.01292690719521
1.1,-0.1808,-1.1400440696348e-13,-0.00029247887210835
1.105,-0.17854,-0.0037850954579314,-0.0019815095753777
1.115,-0.17402,4.1801824565306e-14,-0.00029248014838037
1.125,-0.1695,5.0235538610102e-14,-0.00029248014814566
1.135,-0.16498,3.9719201942851e-13,-0.00029248014791677
1.145,-0.16046,6.2065354914761e-14,-0.00029248014768776
1.155,-0.15594,3.3048387300005e-13,-0.00029248014745864
1.165,-0.15142,3.7333742976213e-13,-0.00029248014722975
1.175,-0.1469,3.3002050945622e-13,-0.0002924801470007
1.185,-0.14238,6.5769614598972e-13,-0.00029248014677183
1.195,-0.13786,6.6296003338194e-13,-0.00029248014654273
1.205,-0.13334,6.5650382337685e-13,-0.00029248014631374
1.215,-0.12882,9.7630759754659e-13,-0.0002924801460848
1.225,-0.1243,9.7964803151076e-13,-0.000292480145856
1.235,-0.11978,9.8850599226422e-13,-0.00029248014562672
1.245,-0.11526,1.1433791676222e-12,-0.00029248014539772
1.255,-0.11074,1.3262986569045e-12,-0.0002924801451685
1.265,-0.10622,1.348990891484e-12,-0.00029248014493948
1.275,-0.1017,1.5187959885655e-12,-0.00029248014471026
1.285,-0.09718,1.7070643561553e-12,-0.0002924801444812
1.295,-0.09266,1.6929339813359e-12,-0.00029248014425218
1.305,-0.08814,1.7123603540339e-12,-0.00029248014402322
1.315,-0.08362,2.0601589670257e-12,-0.000292480143794
1.325,-0.0791,2.0827096291273e-12,-0.00029248014356506
1.335,-0.07458,2.0619102815974e-12,-0.00029248014333606
1.345,-0.07006,2.0642687474435e-12,-0.00029248014310721
1.355,-0.06554,2.4121567410361e-12,-0.00029248014287789
1.365,-0.06102,2.430449707004e-12,-0.00029248014264904
1.375,-0.0565,2.4545963573993e-12,-0.00029248014241982
1.385,-0.05198,2.4793641774013e-12,-0.00029248014219088
1.395,-0.04746,2.8111161318197e-12,-0.0002924801419617
1.405,-0.04294,2.8500393429618e-12,-0.00029248014173285
