time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.00226,-2.4935394050836e-07,4.6204469821709e-38
0.02,-0.00452,-4.9870788102264e-07,3.5822473493518e-37
0.03,-0.00678,-0.0081356121916957,-0.00064733401560796
0.04,-0.00904,-0.047446465991899,-0.0037730307547032
0.05,-0.0113,-0.081862020627166,-0.0065061947254893
0.06,-0.01356,-0.10367964173569,-0.0082359126796304
0.07,-0.01582,-0.12293075105877,-0.0097599011690425
0.08,-0.01808,-0.14072035849506,-0.011166086899778
0.09,-0.02034,-0.15686032134124,-0.012439570439388
0.1,-0.0226,-0.17108809238148,-0.013559228926005
0.11,-0.02486,-0.18426350708057,-0.014593610397531
0.12,-0.02712,-0.19577103372713,-0.01549353793904
0.13,-0.02938,-0.23048789876213,-0.018237313064169
0.14,-0.03164,-0.27797320165541,-0.021993196992765
0.15,-0.0339,-0.32171284756796,-0.025447548097414
0.16,-0.03616,-0.3587837190051,-0.028368352492508
0.17,-0.03842,-0.38919705516918,-0.030756712949172
0.18,-0.04068,-0.41426959272509,-0.03271770471502
0.19,-0.04294,-0.43635881156503,-0.034438573180182
0.2,-0.0452,-0.45702052830553,-0.036043140906733
0.21,-0.04746,-0.47623388678205,-0.037529865942637
0.22,-0.04972,-0.4941468463109,-0.03891048165157
0.23,-0.05198,-0.55500550196426,-0.043709157390313
0.24,-0.05424,-0.64291257727456,-0.050657079408751
0.25,-0.0565,-0.724610463705,-0.057104687102177
0.26,-0.05876,-0.80062411678152,-0.06309330742979
0.27,-0.06102,-0.86677031539593,-0.068291095548541
0.28,-0.06328,-0.91795619614383,-0.072295114943015
0.29,-0.06554,-0.96000362463113,-0.07556759475431
0.3,-0.0678,-0.99798866417465,-0.07851178702996
0.31,-0.07006,-1.0331753075822,-0.081228556522799
0.32,-0.07232,-1.091182927518,-0.085754176775385
0.33,-0.07458,-1.1844720870564,-0.093077388085115
0.34,-0.07684,-1.2720487447171,-0.099938760368016
0.35,-0.0791,-1.352059632588,-0.10619104293174
0.36,-0.08136,-1.4185794567234,-0.11136469953092
0.37,-0.08362,-1.4736209275963,-0.11562100634987
0.38,-0.08588,-1.5233200806798,-0.11944678627792
0.39,-0.08814,-1.5695364184105,-0.12299006444731
0.4,-0.0904,-1.6126112483239,-0.12627871036989
0.41,-0.09266,-1.6541204605963,-0.12943753966889
0.42,-0.09492,-1.7954217870805,-0.14053505382605
0.43,-0.09718,-1.9275655217494,-0.15089684530192
0.44,-0.09944,-2.0518001483861,-0.1606205555088
0.45,-0.1017,-2.1671054952709,-0.16962422780617
0.46,-0.10396,-2.2691176104418,-0.17756250323842
0.47,-0.10622,-2.3531729188543,-0.18406700458306
0.48,-0.10848,-2.4263852120031,-0.18970172261969
0.49,-0.11074,-2.4934732774531,-0.19484095185968
0.5,-0.113,-2.5554735058338,-0.19956746876153
0.51,-0.11526,-2.6669965812601,-0.20821762824374
0.52,-0.11752,-2.8020017802273,-0.21872196995855
0.53,-0.11978,-2.9286601229174,-0.22855257309406
0.54,-0.12204,-3.0415492833242,-0.23728010056849
0.55,-0.1243,-3.1381756675103,-0.24470711226407
0.56,-0.12656,-3.2208861819426,-0.25102164278786
0.57,-0.12882,-3.2974354183349,-0.25683741515266
0.58,-0.13108,-3.3690652993336,-0.26225331252098
0.59,-0.13334,-3.4371859670037,-0.26738169379679
0.6,-0.1356,-3.5517941977096,-0.27620067556026
0.61,-0.13786,-3.7367878854274,-0.29061234896748
0.62,-0.14012,-3.9121650016072,-0.30424847581733
0.63,-0.14238,-4.0776803429766,-0.31708811165293
0.64,-0.14464,-4.2332099730054,-0.32912005394193
0.65,-0.1469,-4.3665954648582,-0.33938438935439
0.66,-0.14916,-4.4795216321963,-0.34801454266528
0.67,-0.15142,-4.5826366402852,-0.3558534735624
0.68,-0.15368,-4.6775413996634,-0.36302792048078
0.69,-0.15594,-4.7662401957614,-0.36969767365578
0.7,-0.1582,-4.9432694835896,-0.3833670936172
0.71,-0.16046,-5.1135458315877,-0.39648622292222
0.72,-0.16272,-5.2749799372583,-0.40888868475073
0.73,-0.16498,-5.4169547435969,-0.41973580232409
0.74,-0.16724,-5.5405145673718,-0.42910985316721
0.75,-0.1695,-5.6520205718492,-0.43751490566936
0.76,-0.17176,-5.7564406101868,-0.44534438315123
0.77,-0.17402,-5.855174104791,-0.45270938261592
0.78,-0.17628,-5.9493128141496,-0.4596971365866
0.79,-0.17854,-6.1415125560099,-0.47447554234991
0.8,-0.1808,-6.3699995939087,-0.49213069766942
0.81,-0.18306,-6.5866889983598,-0.50883460615587
0.82,-0.18532,-6.7920245471395,-0.52462009296548
0.83,-0.18758,-6.9824450268953,-0.53920476559542
0.84,-0.18984,-7.1408744911122,-0.55124054672208
0.85,-0.1921,-7.2834849690867,-0.56200492167218
0.86,-0.19436,-7.4156505769508,-0.57192324013307
0.87,-0.19662,-7.5391826613603,-0.58113949876855
0.88,-0.19888,-7.6913497463493,-0.59261156916908
0.89,-0.20114,-7.912096406471,-0.60950997419193
0.9,-0.2034,-8.1216088170098,-0.62549956697114
0.91,-0.20566,-8.3142065642551,-0.64013162551669
0.92,-0.20792,-8.4833001289175,-0.65288335469393
0.93,-0.21018,-8.63139522109,-0.66395565207533
0.94,-0.21244,-8.7693301573354,-0.67420515261737
0.95,-0.2147,-8.8993083892017,-0.68380634957984
0.96,-0.21696,-9.0230347896682,-0.69289468673196
0.97,-0.21922,-9.1845727669608,-0.70497482916805
0.98,-0.22148,-9.4618160226944,-0.72624400956067
0.99,-0.22374,-9.7267059023649,-0.74651369728104
1,-0.226,-9.980614998611,-0.76589001578022
1.01,-0.22148,-9.0472709309405,-0.69444347254754
1.02,-0.21696,-8.1206262615495,-0.62332366556543
1.03,-0.21244,-7.2859478914399,-0.55953179138425
1.04,-0.20792,-6.4686111064741,-0.49697538431319
1.05,-0.2034,-5.6564070865202,-0.43464528847918
1.06,-0.19888,-4.8520177859487,-0.37275876768306
1.07,-0.19436,-4.1140425019321,-0.31609958215578
1.08,-0.18984,-3.3838507203937,-0.25989698710095
1.09,-0.18532,-2.7209338000355,-0.20899380063525
1.1,-0.1808,-2.0999166413545,-0.16134586606067
1.11,-0.17628,-1.52634072588,-0.11736298504703
1.12,-0.17176,-0.97536915082261,-0.075064862652228
1.13,-0.16724,-0.52837324338717,-0.040904161573834
1.14,-0.16272,-0.16976332330793,-0.013585681641803
1.15,-0.1582,8.8996885761524e-13,-0.00076485147298945
1.16,-0.15368,5.1482425788408e-13,-0.00076485146800555
1.17,-0.14916,3.4906733282553e-12,-0.00076485146304522
1.18,-0.14464,2.7070750257044e-12,-0.00076485145808492
1.19,-0.14012,3.1864554923014e-12,-0.00076485145312455
1.2,-0.1356,6.6620995439732e-12,-0.00076485144816408
1.21,-0.13108,5.9688203552706e-12,-0.0007648514432037
1.22,-0.12656,6.0905121303763e-12,-0.00076485143824331
1.23,-0.12204,7.8532346615894e-12,-0.00076485143328271
1.24,-0.11752,9.4516471650199e-12,-0.00076485142832253
1.25,-0.113,1.0372830708013e-11,-0.00076485142336199
1.26,-0.10848,1.0157708970281e-11,-0.00076485141840132
1.27,-0.10396,1.1291010842428e-11,-0.00076485141344079
1.28,-0.09944,1.3038086571923e-11,-0.00076485140848063
1.29,-0.09492,1.2947751295839e-11,-0.00076485140352011
1.3,-0.0904,1.3244937468299e-11,-0.00076485139855983
1.31,-0.08588,1.6270776032043e-11,-0.00076485139359958
1.32,-0.08136,1.7395631632994e-11,-0.00076485138863914
1.33,-0.07684,1.7065255318988e-11,-0.00076485138367893
1.34,-0.07232,2.0119321410706e-11,-0.00076485137871812
1.35,-0.0678,2.0475992708902e-11,-0.00076485137375779
1.36,-0.06328,2.1329343444516e-11,-0.00076485136879714
1.37,-0.05876,2.1422528835696e-11,-0.00076485136383702
1.38,-0.05424,2.3858447709364e-11,-0.0007648513588767
1.39,-0.04972,2.4198393057067e-11,-0.00076485135391623
1.4,-0.0452,2.4597441355169e-11,-0.00076485134895586
1.41,-0.04068,2.7668877661651e-11,-0.00076485134399558
1.42,-0.03616,2.8155223337771e-11,-0.00076485133903512
1.43,-0.03164,2.8758663192416e-11,-0.00076485133407472
1.44,-0.02712,2.9521048605123e-11,-0.0007648513291148
1.45,-0.0226,3.1498602650934e-11,-0.00076485132415434
1.46,-0.01808,3.2041987830655e-11,-0.00076485131919375
1.47,-0.01356,3.2607223682146e-11,-0.0007648513142332
1.48,-0.0090399999999995,3.4901693267958e-11,-0.00076485130927309
1.49,-0.0045199999999995,3.5349843443442e-11,-0.00076485130431283
1.5,0,3.5626314008091e-11,-0.00076485129935219
