time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.00226,-0.022560795864163,-0.010875801831576
0.02,-0.00452,-0.03136854865972,-0.015111638742133
0.03,-0.00678,-0.040182519120427,-0.019343813089765
0.04,-0.00904,-0.04900050475911,-0.023571766962173
0.05,-0.0113,-0.057822421507332,-0.027795446418955
0.06,-0.01356,-0.064939150551504,-0.031192304717895
0.07,-0.01582,-0.071552694541735,-0.034341813934182
0.08,-0.01808,-0.076207073833811,-0.036546129685811
0.09,-0.02034,-0.079686566791292,-0.038183736134876
0.1,-0.0226,-0.083077332389217,-0.039776419016044
0.11,-0.02486,-0.085846376437287,-0.04106733720182
0.12,-0.02712,-0.088303277776189,-0.042205906213478
0.13,-0.02938,-0.090691814255956,-0.043309709344861
0.14,-0.03164,-0.093020610620364,-0.04438295302533
0.15,-0.0339,-0.095296837261919,-0.045429135345437
0.16,-0.03616,-0.097526506006715,-0.046451190262267
0.17,-0.03842,-0.099714704139945,-0.047451601420327
0.18,-0.04068,-0.10186577281156,-0.048432488939163
0.19,-0.04294,-0.10398344450726,-0.049395676303246
0.2,-0.0452,-0.10603299846883,-0.050324811323199
0.21,-0.04746,-0.10790138900158,-0.051166650072465
0.22,-0.04972,-0.10974315778695,-0.051994331824283
0.23,-0.05198,-0.11156057977497,-0.05280897087907
0.24,-0.05424,-0.11335570310479,-0.053611569528439
0.25,-0.0565,-0.13187902131735,-0.062499202165478
0.26,-0.05876,-0.15219824205128,-0.072246198891459
0.27,-0.06102,-0.17167323909594,-0.081577451545071
0.28,-0.06328,-0.19040632753679,-0.09054180083273
0.29,-0.06554,-0.20851035121962,-0.099193008928136
0.3,-0.0678,-0.22612836326937,-0.1075990396782
0.31,-0.07006,-0.24328865345692,-0.11577311162477
0.32,-0.07232,-0.25972527798352,-0.12358713142043
0.33,-0.07458,-0.27364362431787,-0.13017917205539
0.34,-0.07684,-0.28571943564603,-0.13587547268911
0.35,-0.0791,-0.29565196271142,-0.14053376638761
0.36,-0.08136,-0.30506611182399,-0.14493421705053
0.37,-0.08362,-0.31404338762407,-0.14911631778022
0.38,-0.08588,-0.32239033555946,-0.15298717975768
0.39,-0.08814,-0.32999313737419,-0.15649278194013
0.4,-0.0904,-0.3371928269031,-0.15979785518788
0.41,-0.09266,-0.34415184838267,-0.16298040565009
0.42,-0.09492,-0.35090752477951,-0.16605866555739
0.43,-0.09718,-0.35749062563243,-0.16904768854195
0.44,-0.09944,-0.36381481970986,-0.17190691863202
0.45,-0.1017,-0.36989368097686,-0.17464328866434
0.46,-0.10396,-0.37585821743622,-0.17731929342042
0.47,-0.10622,-0.38155743061396,-0.17986293608358
0.48,-0.10848,-0.3871505472923,-0.18235062931639
0.49,-0.11074,-0.39259708538827,-0.184762774517
0.5,-0.113,-0.40319628506375,-0.18966011221458
0.51,-0.11526,-0.42409873341231,-0.19952894830726
0.52,-0.11752,-0.45835247809705,-0.21584301744143
0.53,-0.11978,-0.49350038801172,-0.23257380685624
0.54,-0.12204,-0.52778610344182,-0.24887158692373
0.55,-0.1243,-0.56103179015999,-0.26464980586779
0.56,-0.12656,-0.59270453279902,-0.27965320775973
0.57,-0.12882,-0.62278258389048,-0.29387031441282
0.58,-0.13108,-0.65120810410912,-0.30727154065041
0.59,-0.13334,-0.67816658291219,-0.31994827616763
0.6,-0.1356,-0.70148016216822,-0.3308521601606
0.61,-0.13786,-0.72339348838365,-0.34106481307284
0.62,-0.14012,-0.74145165676356,-0.34940783420444
0.63,-0.14238,-0.7577930426563,-0.35691012030855
0.64,-0.14464,-0.77293871352883,-0.36382314757614
0.65,-0.1469,-0.78693882536965,-0.37017150007663
0.66,-0.14916,-0.80872611519076,-0.38026907921789
0.67,-0.15142,-0.84220897353035,-0.39599759643066
0.68,-0.15368,-0.87457743164192,-0.41117300359047
0.69,-0.15594,-0.90592679438433,-0.4258409066222
0.7,-0.1582,-0.9362276744186,-0.43998670704786
0.71,-0.16046,-0.96441682803418,-0.45310055309669
0.72,-0.16272,-0.99038532410625,-0.46513155102292
0.73,-0.16498,-1.013334618457,-0.47569897548146
0.74,-0.16724,-1.0347608249858,-0.48551996188715
0.75,-0.1695,-1.0549956100157,-0.49475393570714
0.76,-0.17176,-1.0742036645939,-0.50347993074696
0.77,-0.17402,-1.0922485721409,-0.51163300626441
0.78,-0.17628,-1.1093502842451,-0.51931971601628
0.79,-0.17854,-1.1256685295138,-0.52661719164496
0.8,-0.1808,-1.1565179290483,-0.54092379581103
0.81,-0.18306,-1.1921338795335,-0.55751303176335
0.82,-0.18532,-1.2377825171398,-0.57892723647377
0.83,-0.18758,-1.2847079154972,-0.60093315581953
0.84,-0.18984,-1.3303828072806,-0.62231135443966
0.85,-0.1921,-1.3748173868733,-0.64306579234345
0.86,-0.19436,-1.4181961726564,-0.66328477496471
0.87,-0.19662,-1.4590014820985,-0.68224231915442
0.88,-0.19888,-1.4961055464525,-0.69939739632554
0.89,-0.20114,-1.5299664302137,-0.71497199759248
0.9,-0.2034,-1.5611493268608,-0.72923942394484
0.91,-0.20566,-1.5900675747503,-0.74239756304899
0.92,-0.20792,-1.6161525940471,-0.75417462789551
0.93,-0.21018,-1.6411575379779,-0.76541190154389
0.94,-0.21244,-1.6652416190716,-0.77618652733798
0.95,-0.2147,-1.6884328264373,-0.78651328051171
0.96,-0.21696,-1.710814933467,-0.79643261176495
0.97,-0.21922,-1.7324826319595,-0.80598961151545
0.98,-0.22148,-1.7532672268549,-0.81510481192492
0.99,-0.22374,-1.7732314960225,-0.82380482978121
1,-0.226,-1.7926462423761,-0.83222276092054
1.01,-0.22148,-1.6490828706982,-0.76606684260557
1.02,-0.21696,-1.5054462814175,-0.6996826150233
1.03,-0.21244,-1.361649121972,-0.63301847798611
1.04,-0.20792,-1.217530767669,-0.56598006893573
1.05,-0.2034,-1.0733482624777,-0.4987345960511
1.06,-0.19888,-0.92911729117356,-0.43129114503619
1.07,-0.19436,-0.78469298755131,-0.36356583421878
1.08,-0.18984,-0.66223955029112,-0.30641565929637
1.09,-0.18532,-0.55451949818324,-0.25636990077614
1.1,-0.1808,-0.44680398909225,-0.20619635181994
1.11,-0.17628,-0.34345144888872,-0.15805052701278
1.12,-0.17176,-0.25304271941862,-0.11615281901535
1.13,-0.16724,-0.18177319590715,-0.083264885540888
1.14,-0.16272,-0.12934380001457,-0.059355890233112
1.15,-0.1582,-0.078492106944987,-0.036143183355327
1.16,-0.15368,-0.029230486712006,-0.01359999450798
1.17,-0.14916,-0.011133146350645,-0.0054739383976214
1.18,-0.14464,-7.7209403658658e-16,-0.00046218556242647
1.19,-0.14012,-9.3816676153177e-14,-0.00046218556397542
1.2,-0.1356,1.9086254979776e-13,-0.0004621855655245
1.21,-0.13108,1.1988495874974e-13,-0.00046218556707361
1.22,-0.12656,5.9271031169507e-14,-0.00046218556862272
1.23,-0.12204,1.7892189881175e-13,-0.00046218557017187
1.24,-0.11752,1.2061553525466e-13,-0.00046218557172088
1.25,-0.113,2.7192525414073e-13,-0.0004621855732701
1.26,-0.10848,2.113791143955e-13,-0.00046218557481929
1.27,-0.10396,3.463458350666e-13,-0.00046218557636842
1.28,-0.09944,4.8150621436273e-13,-0.00046218557791732
1.29,-0.09492,4.3017275731755e-13,-0.00046218557946624
1.3,-0.0904,3.3070575074279e-13,-0.00046218558101538
1.31,-0.08588,6.1636382130835e-13,-0.00046218558256445
1.32,-0.08136,5.9569635016776e-13,-0.00046218558411347
1.33,-0.07684,5.0363950397063e-13,-0.00046218558566262
1.34,-0.07232,8.3777386324237e-13,-0.00046218558721161
1.35,-0.0678,7.6135804284617e-13,-0.00046218558876101
1.36,-0.06328,6.9285883017951e-13,-0.00046218559030984
1.37,-0.05876,6.0061877837919e-13,-0.00046218559185918
1.38,-0.05424,9.261969090849e-13,-0.00046218559340821
1.39,-0.04972,8.6473371683735e-13,-0.00046218559495742
1.4,-0.0452,8.1882473840748e-13,-0.00046218559650644
1.41,-0.04068,1.1381159955493e-12,-0.00046218559805568
1.42,-0.03616,1.0791348647942e-12,-0.00046218559960459
1.43,-0.03164,1.0116442259045e-12,-0.00046218560115372
1.44,-0.02712,9.5229691920633e-13,-0.00046218560270293
1.45,-0.0226,1.2911401904358e-12,-0.00046218560425212
1.46,-0.01808,1.2432418356977e-12,-0.00046218560580112
1.47,-0.01356,1.1984711823045e-12,-0.00046218560735016
1.48,-0.0090399999999995,1.5224254678411e-12,-0.00046218560889947
1.49,-0.0045199999999995,1.4737306929154e-12,-0.00046218561044841
1.5,0,1.3903409811197e-12,-0.00046218561199793
