d1,x1,y1,z1,d2,x2,y2,z2,d3,x3,y3,z3
-0.008243932,0,-0.9,0,0,0,-2,0,0,0,-2,0
3.49E-05,0,-1.85,0,1.98E-05,0,-1.9,0,8.59E-06,0,-1.8,0
-0.006161468,0,-0.95,0,-0.160284138,0,0,0,7.61E-06,0,-1.6,0
2.38E-05,0,-1.9,0,-0.143854237,0,-0.1,0,-5.58E-05,0,-1.4,0
-0.010769534,0,-0.85,0,3.73E-05,0,-1.8,0,-0.000585333,0,-1.2,0
-0.013795426,0,-0.8,0,-0.112905939,0,-0.2,0,-0.003744525,0,-1,0
1.20E-05,0,-1.95,0,4.95E-05,0,-1.7,0,-0.012336407,0,-0.8,0
0,0,-2,0,-0.086852192,0,-0.3,0,-0.031202253,0,-0.6,0
4.51E-05,0,-1.8,0,5.09E-05,0,-1.6,0,-0.156333961,0,0,0
-0.155235633,0,-0.05,0,-0.064641566,0,-0.4,0,-0.121616974,0,-0.2,0
5.38E-05,0,-1.75,0,3.14E-05,0,-1.5,0,-0.066891679,0,-0.4,0
-0.017383526,0,-0.75,0,-0.046447083,0,-0.5,0,-0.002841569,0.2,-1,0
6.05E-05,0,-1.7,0,-2.98E-05,0,-1.4,0,-1.14E-05,0.2,-1.8,0
-0.161326747,0,0,0,-0.032170767,0,-0.6,0,0,0.2,-2,0
6.42E-05,0,-1.65,0,-0.021408768,0,-0.7,0,-4.58E-05,0.2,-1.6,0
-0.021599412,0,-0.7,0,-0.013568997,0,-0.8,0,-0.000548271,0.2,-1.2,0
6.38E-05,0,-1.6,0,-0.008051665,0,-0.9,0,-0.00940121,0.2,-0.8,0
-0.026511322,0,-0.65,0,-0.004325297,0,-1,0,-0.04489285,0.2,-0.4,0
5.78E-05,0,-1.55,0,-0.001985396,0,-1.1,0,-0.101371569,0.2,0,0
-0.032187595,0,-0.6,0,-0.00070824,0,-1.2,0,-0.022961165,0.2,-0.6,0
4.36E-05,0,-1.5,0,-0.000200547,0,-1.3,0,-0.074646289,0.2,-0.2,0
-0.038694581,0,-0.55,0,-0.077810443,0.1,-0.3,0,-0.000153781,0.2,-1.4,0
1.79E-05,0,-1.45,0,3.13E-05,0.1,-1.8,0,-0.018341198,0.4,-0.4,0
-0.04609399,0,-0.5,0,-0.00183605,0.1,-1.1,0,-0.010803602,0.4,-0.6,0
-2.43E-05,0,-1.4,0,-0.019837819,0.1,-0.7,0,-0.02456733,0.4,-0.2,0
-0.054438708,0,-0.45,0,-0.012607689,0.1,-0.8,0,-4.78E-05,0.4,-1.8,0
-9.07E-05,0,-1.35,0,1.29E-05,0.1,-1.5,0,-0.00486267,0.4,-0.8,0
-0.063774335,0,-0.4,0,-0.000654395,0.1,-1.2,0,-0.001512663,0.4,-1,0
-0.000195318,0,-1.3,0,-0.007482963,0.1,-0.9,0,-0.000655631,0.4,-1.2,0
-0.074126914,0,-0.35,0,-0.029662647,0.1,-0.6,0,-0.000301365,0.4,-1.4,0
-0.000381298,0,-1.25,0,-0.042513045,0.1,-0.5,0,0,0.4,-2,0
-0.085512474,0,-0.3,0,3.73E-05,0.1,-1.6,0,-0.039373497,0.4,0,0
-0.000735486,0,-1.2,0,-0.058624669,0.1,-0.4,0,-0.00012872,0.4,-1.6,0
-0.097900891,0,-0.25,0,-0.000216168,0.1,-1.3,0,-0.000396743,0.6,-1.4,0
-0.001288722,0,-1.15,0,-0.098869729,0.1,-0.2,0,-0.000703048,0.6,-1.2,0
-0.14044256,0,-0.1,0,0,0.1,-2,0,-0.001054186,0.6,-1,0
-0.002073648,0,-1.1,0,1.69E-05,0.1,-1.9,0,-0.001556233,0.6,-0.8,0
-0.111295499,0,-0.2,0,-5.48E-05,0.1,-1.4,0,-0.003002608,0.6,-0.4,0
-0.003121886,0,-1.05,0,4.00E-05,0.1,-1.7,0,-0.002556714,0.6,-0.6,0
-0.125478412,0,-0.15,0,-0.136049764,0.1,0,0,-8.15E-05,0.6,-1.8,0
-0.004470031,0,-1,0,-0.119562789,0.1,-0.1,0,0,0.6,-2,0
-0.003059717,0.05,-1.05,0,-0.004016368,0.1,-1,0,-0.000198436,0.6,-1.6,0
-0.001262641,0.05,-1.15,0,-0.003370375,0.2,-1,0,-0.000911542,0.6,-0.2,0
5.81E-05,0.05,-1.7,0,1.96E-05,0.2,-1.7,0,0.003216233,0.6,0,0
4.36E-05,0.05,-1.8,0,1.84E-05,0.2,-1.8,0,-0.000394482,0.8,-1.4,0
-0.144907658,0.05,-0.05,0,0,0.2,-2,0,-0.000221711,0.8,-1.6,0
-0.120318811,0.05,-0.15,0,-2.54E-05,0.2,-1.5,0,0,0.8,-2,0
-0.004383318,0.05,-1,0,1.06E-05,0.2,-1.9,0,-9.67E-05,0.8,-1.8,0
3.38E-05,0.05,-1.85,0,8.38E-06,0.2,-1.6,0,-0.00092681,0.8,-0.8,0
-0.002031874,0.05,-1.1,0,-0.046869044,0.2,-0.4,0,-0.000864114,0.8,-1,0
-0.006044538,0.05,-0.95,0,-0.00056964,0.2,-1.2,0,-0.000618436,0.8,-1.2,0
-0.000720535,0.05,-1.2,0,-0.010608298,0.2,-0.8,0,0.000307682,0.8,-0.4,0
2.30E-05,0.05,-1.9,0,-0.10112114,0.2,0,0,-0.000562057,0.8,-0.6,0
0,0.05,-2,0,-0.088586198,0.2,-0.1,0,0.00143106,0.8,-0.2,0
-0.000198263,0.05,-1.3,0,-0.075421717,0.2,-0.2,0,0.001227053,0.8,0,0
-0.013537661,0.05,-0.8,0,-0.024541385,0.2,-0.6,0,-0.000559449,1,-1,0
-9.56E-05,0.05,-1.35,0,-0.016593426,0.2,-0.7,0,-0.000509481,1,-0.8,0
-2.93E-05,0.05,-1.4,0,-0.00629643,0.2,-0.9,0,-0.00032535,1,-1.4,0
-0.045100986,0.05,-0.5,0,-0.001541126,0.2,-1.1,0,-0.000467672,1,-1.2,0
5.19E-05,0.05,-1.75,0,-0.034644475,0.2,-0.5,0,-0.000195717,1,-1.6,0
3.93E-05,0.05,-1.5,0,-0.060771281,0.2,-0.3,0,0,1,-2,0
6.05E-05,0.05,-1.6,0,-0.000100893,0.2,-1.4,0,-9.00E-05,1,-1.8,0
-0.13303328,0.05,-0.1,0,-0.000254409,0.2,-1.3,0,-0.000223165,1,-0.6,0
-0.000376161,0.05,-1.25,0,-9.81E-08,0.3,-1.8,0,0.000322331,1,-0.4,0
-0.053213563,0.05,-0.45,0,-0.007941901,0.3,-0.8,0,0.000807365,1,-0.2,0
1.32E-05,0.05,-1.45,0,-0.000159394,0.3,-1.4,0,0.001190627,1,0,0
5.39E-05,0.05,-1.55,0,-0.00117952,0.3,-1.1,0,-6.71E-05,1.2,-1.8,0
-0.153601231,0.05,0,0,-0.002519107,0.3,-1,0,-0.000220037,1.2,-1.4,0
-0.008089481,0.05,-0.9,0,-7.71E-05,0.3,-1.5,0,-0.000140715,1.2,-1.6,0
-0.031540787,0.05,-0.6,0,-0.000525874,0.3,-1.2,0,0,1.2,-2,0
6.13E-05,0.05,-1.65,0,-0.000296732,0.3,-1.3,0,0.00030538,1.2,-0.4,0
-0.062258617,0.05,-0.4,0,-9.35E-06,0.3,-1.7,0,0.000631531,1.2,-0.2,0
1.17E-05,0.05,-1.95,0,-0.024698236,0.3,-0.5,0,0.000730806,1.2,0,0
-0.09491716,0.05,-0.25,0,0,0.3,-2,0,-2.03E-06,1.2,-0.6,0
-0.107373233,0.05,-0.2,0,-0.012320715,0.3,-0.7,0,-0.000221066,1.2,-0.8,0
-0.021185736,0.05,-0.7,0,1.64E-06,0.3,-1.9,0,-0.000303434,1.2,-1,0
-0.010568782,0.05,-0.85,0,-0.058344165,0.3,-0.1,0,-0.000286433,1.2,-1.2,0
-0.07224684,0.05,-0.35,0,-0.004725167,0.3,-0.9,0,-1.28E-05,1.4,-0.8,0
-0.037891875,0.05,-0.55,0,-0.068359301,0.3,0,0,-0.000126249,1.4,-1.2,0
-0.017055718,0.05,-0.75,0,-3.20E-05,0.3,-1.6,0,-0.000111574,1.4,-1.4,0
-0.025992595,0.05,-0.65,0,-0.032447564,0.3,-0.4,0,-7.82E-05,1.4,-1.6,0
-0.083154165,0.05,-0.3,0,-0.040823842,0.3,-0.3,0,0,1.4,-2,0
4.01E-05,0.1,-1.8,0,-0.017917569,0.3,-0.6,0,-3.92E-05,1.4,-1.8,0
-0.016313132,0.1,-0.75,0,-0.049595184,0.3,-0.2,0,-0.000100766,1.4,-1,0
-0.078005456,0.1,-0.3,0,-0.000353824,0.4,-1.3,0,0.000140013,1.4,-0.6,0
-0.088499697,0.1,-0.25,0,-0.019060108,0.4,-0.4,0,0.000337214,1.4,-0.4,0
-0.001937105,0.1,-1.1,0,-0.011378386,0.4,-0.6,0,0.000497116,1.4,-0.2,0
-0.012953448,0.1,-0.8,0,-0.015160038,0.4,-0.5,0,0.000571131,1.4,0,0
-0.02024938,0.1,-0.7,0,-0.022802813,0.4,-0.3,0,-3.02E-05,1.6,-1.6,0
2.56E-06,0.1,-1.45,0,-0.026442605,0.4,-0.2,0,-2.96E-05,1.6,-1.4,0
-0.000365466,0.1,-1.25,0,-0.030863593,0.4,-0.1,0,0.000539954,1.6,0,0
-0.005779656,0.1,-0.95,0,-0.005230239,0.4,-0.8,0,0.00014146,1.6,-0.8,0
-0.000689184,0.1,-1.2,0,-0.008000298,0.4,-0.7,0,4.88E-05,1.6,-1,0
5.28E-05,0.1,-1.6,0,-0.003133459,0.4,-0.9,0,-6.56E-06,1.6,-1.2,0
4.74E-05,0.1,-1.75,0,-0.001704518,0.4,-1,0,0.000502615,1.6,-0.2,0
3.12E-05,0.1,-1.85,0,-0.000859264,0.4,-1.1,0,0.000397555,1.6,-0.4,0
2.14E-05,0.1,-1.9,0,-0.000545807,0.4,-1.2,0,0,1.6,-2,0
0,0.1,-2,0,-0.000221168,0.4,-1.4,0,-1.79E-05,1.6,-1.8,0
1.08E-05,0.1,-1.95,0,-0.00013338,0.4,-1.5,0,0.00026655,1.6,-0.6,0
2.95E-05,0.1,-1.5,0,-4.23E-05,0.4,-1.7,0,0.000664045,1.8,0,0
-0.024819674,0.1,-0.65,0,-2.14E-05,0.4,-1.8,0,0.000260433,1.8,-0.8,0
-0.030080154,0.1,-0.6,0,0,0.4,-2,0,-7.86E-07,1.8,-1.4,0
-0.036082085,0.1,-0.55,0,-8.80E-06,0.4,-1.9,0,0,1.8,-2,0
-0.042867955,0.1,-0.5,0,-0.038398608,0.4,0,0,0.000628381,1.8,-0.2,0
-0.058879945,0.1,-0.4,0,-7.70E-05,0.4,-1.6,0,0.000532763,1.8,-0.4,0
-0.068083498,0.1,-0.35,0,-0.000278908,0.5,-1.4,0,0.000399653,1.8,-0.6,0
-0.099325543,0.1,-0.2,0,-7.44E-05,0.5,-1.7,0,0.000139051,1.8,-1,0
-0.000106419,0.1,-1.35,0,-1.93E-05,0.5,-1.9,0,5.08E-05,1.8,-1.2,0
-0.000205983,0.1,-1.3,0,-0.001861413,0.5,-0.9,0,-2.00E-05,1.8,-1.6,0
-0.001204391,0.1,-1.15,0,0,0.5,-2,0,-1.60E-05,1.8,-1.8,0
-0.007739337,0.1,-0.9,0,-4.26E-05,0.5,-1.8,0,0.000334128,2,-0.8,0
4.52E-05,0.1,-1.55,0,-0.000575576,0.5,-1.2,0,0.000142555,2,-1,0
5.26E-05,0.1,-1.7,0,-0.000185723,0.5,-1.5,0,-4.83E-05,2,-1.8,0
-0.01011364,0.1,-0.85,0,-0.001098579,0.5,-1,0,0,2,-2,0
-0.050464766,0.1,-0.45,0,-0.00040878,0.5,-1.3,0,-7.56E-05,2,-1.6,0
-0.110048161,0.1,-0.15,0,-0.00299832,0.5,-0.8,0,-6.21E-05,2,-1.4,0
-4.04E-05,0.1,-1.4,0,-0.004459419,0.5,-0.7,0,8.07E-06,2,-1.2,0
-0.13600099,0.1,0,0,-0.006112799,0.5,-0.6,0,0.000557773,2,-0.6,0
-0.002919398,0.1,-1.05,0,-0.007744544,0.5,-0.5,0,0.000770831,2,-0.4,0
5.48E-05,0.1,-1.65,0,-0.009066998,0.5,-0.4,0,0.000925576,2,-0.2,0
-0.120237813,0.1,-0.1,0,-0.009825596,0.5,-0.3,0,0.000981405,2,0,0
-0.004187296,0.1,-1,0,-0.009965127,0.5,-0.2,0,,,,
-0.128755801,0.1,-0.05,0,-0.009749717,0.5,-0.1,0,,,,
-0.111727645,0.15,-0.05,0,-0.012428953,0.5,0,0,,,,
-0.003885318,0.15,-1,0,-0.000761664,0.5,-1.1,0,,,,
-0.001116075,0.15,-1.15,0,-0.000120027,0.5,-1.6,0,,,,
-0.000217114,0.15,-1.3,0,-2.85E-05,0.6,-1.9,0,,,,
-1.39E-05,0.15,-1.45,0,0,0.6,-2,0,,,,
