d1,x1,y1,z1,d2,x2,y2,z2,d3,x3,y3,z3
-0.013510629,0,-0.8,0,4.47E-05,0,-1.7,0,0,0,-2,0
-0.01057205,0,-0.85,0,-2.53E-05,0,-1.45,0,4.18E-05,0,-1.8,0
-0.008894517,0,-0.875,0,-6.30E-05,0,-1.4,0,-0.000144353,0,-1.3,0
-0.155012414,0,-0.025,0,2.60E-05,0,-1.55,0,-0.003480927,0,-1,0
-0.163897304,0,0,0,1.41E-05,0,-1.5,0,-0.000573645,0,-1.1,0
-0.011522712,0,-0.825,0,4.14E-05,0,-1.65,0,-0.011637594,0,-0.8,0
-0.016981088,0,-0.75,0,4.17E-05,0,-1.6,0,-0.102206267,0,-0.1,0
-0.14165945,0,-0.075,0,3.85E-05,0,-1.75,0,-0.003687214,0,-0.9,0
-0.014649931,0,-0.775,0,2.61E-05,0,-1.85,0,-0.149532337,0,0,0
-0.151635978,0,-0.05,0,3.50E-05,0,-1.8,0,-0.028038528,0,-0.6,0
-0.021041936,0,-0.7,0,9.15E-06,0,-1.95,0,-0.011523655,0,-0.7,0
-0.018334058,0,-0.725,0,1.89E-05,0,-1.9,0,-0.054771123,0,-0.3,0
-0.12793733,0,-0.125,0,0,0,-2,0,1.85E-05,0,-1.9,0
-0.136369014,0,-0.1,0,-0.142370784,0,-0.05,0,-0.098483428,0,-0.2,0
-0.025754641,0,-0.65,0,-0.167712994,0,0,0,-0.000341057,0,-1.2,0
-0.113319125,0,-0.175,0,-0.113464957,0,-0.15,0,3.42E-05,0,-1.5,0
-0.022636967,0,-0.675,0,-0.134761713,0,-0.1,0,-0.027697792,0,-0.5,0
-0.121258132,0,-0.15,0,-0.088799574,0,-0.25,0,2.12E-05,0,-1.4,0
-0.03118292,0,-0.6,0,-0.105721824,0,-0.2,0,-0.055702273,0,-0.4,0
-0.099670112,0,-0.225,0,-0.066399147,0,-0.35,0,4.72E-05,0,-1.7,0
-0.107165917,0,-0.2,0,-0.080956274,0,-0.3,0,6.70E-05,0,-1.6,0
-0.027623827,0,-0.625,0,-0.048344998,0,-0.45,0,-0.003160315,0.1,-1,0
-0.087082553,0,-0.275,0,-0.060594677,0,-0.4,0,3.74E-05,0.1,-1.8,0
-0.094126074,0,-0.25,0,-0.034156362,0,-0.55,0,5.58E-05,0.1,-1.6,0
-0.037391029,0,-0.55,0,-0.04422565,0,-0.5,0,-0.05141677,0.1,-0.4,0
-0.075579891,0,-0.325,0,-0.023272105,0,-0.65,0,-0.010674581,0.1,-0.8,0
-0.082143686,0,-0.3,0,-0.031295277,0,-0.6,0,-0.000330013,0.1,-1.2,0
-0.033362448,0,-0.575,0,-0.015132241,0,-0.75,0,-0.126564916,0.1,0,0
-0.065146653,0,-0.375,0,-0.021305108,0,-0.7,0,-0.025862835,0.1,-0.6,0
-0.071209093,0,-0.35,0,-0.009237666,0,-0.85,0,-0.091122855,0.1,-0.2,0
-0.044442197,0,-0.5,0,-0.013801175,0,-0.8,0,0,0.1,-2,0
0,0,-2,0,-0.005144425,0,-0.95,0,7.11E-06,0.1,-1.4,0
-0.00671138,0,-0.925,0,-0.008368025,0,-0.9,0,-0.002635392,0.2,-1,0
-0.055755531,0,-0.425,0,-0.002471967,0,-1.05,0,-0.002892125,0.2,-0.9,0
-0.008110357,0,-0.9,0,-0.004624378,0,-1,0,-0.000550759,0.2,-1.1,0
1.04E-05,0,-1.95,0,-0.002237052,0,-1.1,0,1.12E-05,0.2,-1.9,0
5.16E-06,0,-1.975,0,-0.000150647,0,-1.35,0,2.98E-05,0.2,-1.6,0
-0.004923827,0,-0.975,0,-0.000869608,0,-1.2,0,2.32E-05,0.2,-1.7,0
-0.039920615,0,-0.525,0,-0.00037339,0,-1.25,0,-0.041218414,0.2,-0.4,0
-0.006074398,0,-0.95,0,-0.001029234,0,-1.15,0,-0.000346914,0.2,-1.2,0
2.05E-05,0,-1.9,0,-0.000247868,0,-1.3,0,-0.008917485,0.2,-0.8,0
1.53E-05,0,-1.925,0,-0.079562396,0.05,-0.3,0,0,0.2,-2,0
-0.003486322,0,-1.025,0,3.39E-05,0.05,-1.8,0,2.54E-05,0.2,-1.8,0
2.99E-05,0,-1.85,0,0,0.05,-2,0,-0.022370176,0.2,-0.5,0
-0.004416741,0,-1,0,-0.002189915,0.05,-1.1,0,-0.009192924,0.2,-0.7,0
2.50E-05,0,-1.875,0,-0.013574525,0.05,-0.8,0,-0.043669832,0.2,-0.3,0
3.82E-05,0,-1.8,0,-0.020967233,0.05,-0.7,0,-0.093075071,0.2,0,0
-0.00235736,0,-1.075,0,-0.030811323,0.05,-0.6,0,-0.069237543,0.2,-0.1,0
3.38E-05,0,-1.825,0,1.09E-05,0.05,-1.5,0,-0.000185357,0.2,-1.3,0
-0.003093899,0,-1.05,0,-0.043542404,0.05,-0.5,0,-0.021022962,0.2,-0.6,0
4.51E-05,0,-1.75,0,-0.059625088,0.05,-0.4,0,-9.08E-06,0.2,-1.5,0
4.14E-05,0,-1.775,0,3.92E-05,0.05,-1.6,0,-0.066021259,0.2,-0.2,0
-0.001499066,0,-1.125,0,-0.103413643,0.05,-0.2,0,-3.72E-05,0.2,-1.4,0
4.97E-05,0,-1.7,0,-0.008224553,0.05,-0.9,0,0,0.3,-2,0
-0.002066209,0,-1.1,0,1.83E-05,0.05,-1.9,0,-0.001916946,0.3,-1,0
4.70E-05,0,-1.725,0,-0.000247995,0.05,-1.3,0,-0.028037809,0.3,-0.4,0
5.13E-05,0,-1.65,0,-0.000848254,0.05,-1.2,0,8.05E-06,0.3,-1.8,0
-0.000878962,0,-1.175,0,-6.59E-05,0.05,-1.4,0,-0.000391754,0.3,-1.2,0
-0.052395336,0,-0.45,0,4.29E-05,0.05,-1.7,0,-0.00656108,0.3,-0.8,0
-0.001298266,0,-1.15,0,-0.153489577,0.05,0,0,-0.015205163,0.3,-0.6,0
5.01E-05,0,-1.675,0,-0.131593128,0.05,-0.1,0,-0.043547936,0.3,-0.2,0
4.86E-05,0,-1.6,0,-0.004539034,0.05,-1,0,-8.96E-06,0.3,-1.6,0
-0.000488929,0,-1.225,0,-0.075067182,0.1,-0.3,0,-9.84E-05,0.3,-1.4,0
4.95E-05,0,-1.625,0,3.07E-05,0.1,-1.8,0,-0.061177388,0.3,0,0
-0.000758942,0,-1.2,0,-0.002088481,0.1,-1.1,0,-0.00911995,0.4,-0.6,0
-0.047364605,0,-0.475,0,-0.013006579,0.1,-0.8,0,-0.015728369,0.4,-0.4,0
4.01E-05,0,-1.55,0,-0.014306512,0.1,-0.75,0,-0.010209132,0.4,-0.5,0
-0.000287686,0,-1.275,0,-0.000969387,0.1,-1.15,0,-0.004437233,0.4,-0.7,0
-0.061303315,0,-0.4,0,-0.061849002,0.1,-0.35,0,-0.016874302,0.4,-0.3,0
-0.000412681,0,-1.25,0,-0.081887303,0.1,-0.25,0,-0.001369812,0.4,-0.9,0
4.39E-05,0,-1.575,0,2.30E-05,0.1,-1.85,0,-0.000170289,0.4,-1.4,0
2.33E-05,0,-1.5,0,-0.02008803,0.1,-0.7,0,-0.000440764,0.4,-1.2,0
-0.000169421,0,-1.325,0,-0.021973834,0.1,-0.65,0,-6.28E-06,0.4,-1.9,0
3.13E-05,0,-1.525,0,3.31E-05,0.1,-1.75,0,-0.000296088,0.4,-1.3,0
-0.000223048,0,-1.3,0,-0.008731045,0.1,-0.85,0,0,0.4,-2,0
-5.02E-06,0,-1.45,0,-0.007875881,0.1,-0.9,0,-1.23E-05,0.4,-1.8,0
8.83E-06,0,-1.475,0,-0.029494813,0.1,-0.6,0,-0.001260233,0.4,-1,0
-8.38E-05,0,-1.375,0,1.54E-05,0.1,-1.55,0,-0.000569197,0.4,-1.1,0
-4.98E-05,0,-1.4,0,-0.041596061,0.1,-0.5,0,-0.004092187,0.4,-0.8,0
-0.000118517,0,-1.35,0,1.75E-06,0.1,-1.5,0,-0.02155466,0.4,-0.2,0
-2.75E-05,0,-1.425,0,-0.032159951,0.1,-0.55,0,-0.023443854,0.4,-0.1,0
-0.003081281,0.025,-1.05,0,-0.056734645,0.1,-0.4,0,-3.24E-05,0.4,-1.7,0
4.93E-05,0.025,-1.7,0,-0.045321571,0.1,-0.45,0,-0.000108789,0.4,-1.5,0
-0.001292562,0.025,-1.15,0,3.21E-05,0.1,-1.6,0,-0.032164956,0.4,0,0
3.80E-05,0.025,-1.8,0,-0.00037474,0.1,-1.25,0,-5.27E-05,0.4,-1.6,0
-0.150212497,0.025,-0.05,0,-0.000812136,0.1,-1.2,0,-0.007653453,0.5,-0.4,0
2.97E-05,0.025,-1.85,0,-0.096389958,0.1,-0.2,0,-0.005031097,0.5,-0.6,0
-0.000119208,0.025,-1.35,0,-0.000251851,0.1,-1.3,0,-0.00245082,0.5,-0.8,0
-0.013460906,0.025,-0.8,0,1.68E-05,0.1,-1.9,0,-0.00096927,0.5,-1,0
-0.002057482,0.025,-1.1,0,0,0.1,-2,0,-3.24E-05,0.5,-1.8,0
4.47E-05,0.025,-1.75,0,8.13E-06,0.1,-1.95,0,-0.000505498,0.5,-1.2,0
2.26E-05,0.025,-1.5,0,-0.000160975,0.1,-1.35,0,-0.000230122,0.5,-1.4,0
-0.12037649,0.025,-0.15,0,-0.002323889,0.1,-1.05,0,0,0.5,-2,0
2.03E-05,0.025,-1.9,0,3.35E-05,0.1,-1.65,0,-0.0095324,0.5,0,0
-0.000223381,0.025,-1.3,0,-3.78E-05,0.1,-1.45,0,-9.50E-05,0.5,-1.6,0
-0.004399269,0.025,-1,0,-0.103404443,0.1,-0.15,0,-0.008064808,0.5,-0.2,0
0,0.025,-2,0,3.79E-05,0.1,-1.7,0,-0.001308879,0.6,-0.7,0
-5.07E-05,0.025,-1.4,0,-7.60E-05,0.1,-1.4,0,-0.003306274,0.6,-0.4,0
-0.006051005,0.025,-0.95,0,-0.135052416,0.1,0,0,-0.002289375,0.6,-0.6,0
-0.000755411,0.025,-1.2,0,-0.00485278,0.1,-0.95,0,-0.002550701,0.6,-0.5,0
-0.044263712,0.025,-0.5,0,-0.121996579,0.1,-0.05,0,-8.69E-05,0.6,-1.7,0
