time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.00226,-0.0033720373416467,-0.00026827905186261
0.02,-0.00452,-0.011356321764609,-0.00090299749950174
0.03,-0.00678,-0.018047842559394,-0.0014343019661683
0.04,-0.00904,-0.027592680437915,-0.0021918921013012
0.05,-0.0113,-0.038438302843109,-0.0030522326098667
0.06,-0.01356,-0.049237413315959,-0.003907957972364
0.07,-0.01582,-0.059314492594237,-0.0047053016179478
0.08,-0.01808,-0.075237436166691,-0.0059669497167171
0.09,-0.02034,-0.084331628184901,-0.0066838983551561
0.1,-0.0226,-0.10586479415893,-0.0083900157139806
0.11,-0.02486,-0.11630911072979,-0.0092119482992961
0.12,-0.02712,-0.13978588431058,-0.011070114015341
0.13,-0.02938,-0.15384476703351,-0.012177157012463
0.14,-0.03164,-0.17586290924251,-0.013916154675181
0.15,-0.0339,-0.19584895575962,-0.015492140984748
0.16,-0.03616,-0.21562932782829,-0.017049666419911
0.17,-0.03842,-0.24255481319724,-0.019174876388667
0.18,-0.04068,-0.26044008514169,-0.020577748307059
0.19,-0.04294,-0.29418546541438,-0.023242401762279
0.2,-0.0452,-0.3121157211569,-0.024644791885676
0.21,-0.04746,-0.34938463034303,-0.02758569954999
0.22,-0.04972,-0.37126060185683,-0.029298222323619
0.23,-0.05198,-0.40633014211544,-0.03205890942225
0.24,-0.05424,-0.43466673729625,-0.034281663433957
0.25,-0.0565,-0.4664313477089,-0.036774054918058
0.26,-0.05876,-0.50288770654551,-0.03963874316783
0.27,-0.06102,-0.53168396876337,-0.04188934745601
0.28,-0.06328,-0.5759516873297,-0.045371097721278
0.29,-0.06554,-0.60217309628308,-0.047410690342164
0.3,-0.0678,-0.65423846425378,-0.051508121068739
0.31,-0.07006,-0.68326087463579,-0.053765214508999
0.32,-0.07232,-0.73819804281356,-0.058084279231462
0.33,-0.07458,-0.77931826376716,-0.061299553833033
0.34,-0.07684,-0.8078763573614,-0.063507773952485
0.35,-0.0791,-0.83178778811112,-0.06534025263498
0.36,-0.08136,-0.91546362939177,-0.071939376842304
0.37,-0.08362,-0.96650354356554,-0.075933331100211
0.38,-0.08588,-1.0004467815836,-0.078557342838574
0.39,-0.08814,-1.0287281403825,-0.080723324525263
0.4,-0.0904,-1.0953306392595,-0.085943173788352
0.41,-0.09266,-1.1697228890334,-0.091784165922962
0.42,-0.09492,-1.2134841685774,-0.095176593903374
0.43,-0.09718,-1.2478880779961,-0.097814814979485
0.44,-0.09944,-1.2898378168788,-0.10104923789982
0.45,-0.1017,-1.3858238868899,-0.10859479402801
0.46,-0.10396,-1.4438797732813,-0.11311076615551
0.47,-0.10622,-1.4851889456248,-0.11628234903979
0.48,-0.10848,-1.5204068970578,-0.11895984263763
0.49,-0.11074,-1.6172564182639,-0.12655338725415
0.5,-0.113,-1.6932209406558,-0.1324798019239
0.51,-0.11526,-1.7422795331521,-0.13625128837605
0.52,-0.11752,-1.7829642383278,-0.13934507869655
0.53,-0.11978,-1.856693447372,-0.1450700755016
0.54,-0.12204,-1.9576639269099,-0.15296927093452
0.55,-0.1243,-2.0193691593468,-0.1577303006765
0.56,-0.12656,-2.0670877797306,-0.16136501707322
0.57,-0.12882,-2.1138610519118,-0.16491519888929
0.58,-0.13108,-2.2450197422131,-0.17519961750041
0.59,-0.13334,-2.3413357063789,-0.18269885818661
0.6,-0.1356,-2.4056446353582,-0.18763456368043
0.61,-0.13786,-2.4588329514737,-0.19167171862973
0.62,-0.14012,-2.5055910245358,-0.19518521361038
0.63,-0.14238,-2.5481023872267,-0.1983500015774
0.64,-0.14464,-2.5877725955754,-0.20127984744491
0.65,-0.1469,-2.6845026835485,-0.2087653838928
0.66,-0.14916,-2.8464610367546,-0.22146457410023
0.67,-0.15142,-2.9781562934761,-0.23174337466293
0.68,-0.15368,-3.0614969921065,-0.23815618178463
0.69,-0.15594,-3.1273823770568,-0.24316111976617
0.7,-0.1582,-3.1846293860397,-0.24746336766327
0.71,-0.16046,-3.2360825807469,-0.2512906173243
0.72,-0.16272,-3.283891825652,-0.25481606211531
0.73,-0.16498,-3.3288936828497,-0.25810806539011
0.74,-0.16724,-3.4882026658742,-0.27053550498117
0.75,-0.1695,-3.6590952601119,-0.28389118341435
0.76,-0.17176,-3.7868376990794,-0.29379757315378
0.77,-0.17402,-3.8747337883255,-0.30051099250259
0.78,-0.17628,-3.9472101638974,-0.30597627483415
0.79,-0.17854,-4.0108536249456,-0.31072067911899
0.8,-0.1808,-4.0688346607794,-0.31499917604275
0.81,-0.18306,-4.1228709290292,-0.31894997953375
0.82,-0.18532,-4.1739907477911,-0.32265716136768
0.83,-0.18758,-4.3312947963446,-0.33485203281541
0.84,-0.18984,-4.5312468912497,-0.35046069214154
0.85,-0.1921,-4.7045869042928,-0.36393514535136
0.86,-0.19436,-4.8359660172733,-0.37404676568033
0.87,-0.19662,-4.9332020312129,-0.3814150794988
0.88,-0.19888,-5.0165456574568,-0.38765577104309
0.89,-0.20114,-5.0906468659929,-0.39314138390779
0.9,-0.2034,-5.1581772365277,-0.39808715432929
0.91,-0.20566,-5.2207164889446,-0.40261997375741
0.92,-0.20792,-5.278581169806,-0.40676495778846
0.93,-0.21018,-5.333427164765,-0.41065624799026
0.94,-0.21244,-5.3857838030475,-0.4143373610549
0.95,-0.2147,-5.4361954641149,-0.41785257955576
0.96,-0.21696,-5.4848541156043,-0.42121822292499
0.97,-0.21922,-5.5320145830678,-0.42445553941053
0.98,-0.22148,-5.6277807080627,-0.43158205736982
0.99,-0.22374,-5.8924080173936,-0.45223433075923
1,-0.226,-6.1350875598263,-0.4711283094082
1.01,-0.22148,-5.0102687470637,-0.3841831567611
1.02,-0.21696,-4.0391774394596,-0.30965972711397
1.03,-0.21244,-3.1152833458344,-0.23881220519045
1.04,-0.20792,-2.2026126596945,-0.16864792794184
1.05,-0.2034,-1.3729071781708,-0.10498587416206
1.06,-0.19888,-0.66357140615205,-0.05085836129946
1.07,-0.19436,-0.11438029850971,-0.0092679996683896
1.08,-0.18984,3.2136682095833e-13,-0.00069138526362536
1.09,-0.18532,4.4070509215018e-13,-0.00069138528312302
1.1,-0.1808,-1.448976819741e-12,-0.00069138530262284
1.11,-0.17628,-2.531165956594e-12,-0.00069138532212206
1.12,-0.17176,-4.2456623544e-12,-0.00069138534162189
1.13,-0.16724,-5.8252492422578e-12,-0.00069138536112078
1.14,-0.16272,-5.4663627724872e-12,-0.00069138538134879
1.15,-0.1582,-7.4058458823272e-12,-0.00069138540171485
1.16,-0.15368,-9.2583156641057e-12,-0.00069138542296851
1.17,-0.14916,-9.3093271874328e-12,-0.00069138544533947
1.18,-0.14464,-1.1037582570747e-11,-0.00069138546842951
1.19,-0.14012,-1.2927257278623e-11,-0.00069138549233907
1.2,-0.1356,-1.3148104180654e-11,-0.00069138551429829
1.21,-0.13108,-1.4180581905898e-11,-0.00069138553522054
1.22,-0.12656,-1.582304661594e-11,-0.00069138555910277
1.23,-0.12204,-1.6789015990098e-11,-0.00069138558127119
1.24,-0.11752,-1.8712584618867e-11,-0.00069138560252502
1.25,-0.113,-1.9064287712226e-11,-0.00069138562294983
1.26,-0.10848,-2.0858058582557e-11,-0.00069138564437281
1.27,-0.10396,-2.1548565714485e-11,-0.00069138566457401
1.28,-0.09944,-2.2719625074673e-11,-0.00069138569135504
1.29,-0.09492,-2.4321502174098e-11,-0.00069138571507348
1.3,-0.0904,-2.6073508566234e-11,-0.00069138573602854
1.31,-0.08588,-2.5882194571593e-11,-0.00069138575762258
1.32,-0.08136,-2.7496794730149e-11,-0.00069138578025348
1.33,-0.07684,-2.9399749034224e-11,-0.00069138580047339
1.34,-0.07232,-2.8443630841285e-11,-0.0006913858206195
1.35,-0.0678,-2.9575186143353e-11,-0.00069138584258045
1.36,-0.06328,-3.1325363564352e-11,-0.00069138586762232
1.37,-0.05876,-3.3016055401371e-11,-0.00069138588988011
1.38,-0.05424,-3.2041671665443e-11,-0.0006913859137735
1.39,-0.04972,-3.3854066024721e-11,-0.00069138593346318
1.4,-0.0452,-3.5632795238235e-11,-0.00069138595471685
1.41,-0.04068,-3.4670309929124e-11,-0.00069138597872839
1.42,-0.03616,-3.6455426978083e-11,-0.0006913860018898
1.43,-0.03164,-3.8262337690954e-11,-0.00069138602267231
1.44,-0.02712,-4.0032128366522e-11,-0.00069138604497279
1.45,-0.0226,-3.9068990864065e-11,-0.00069138606447209
1.46,-0.01808,-4.0875993753602e-11,-0.00069138608744788
1.47,-0.01356,-4.2663581049637e-11,-0.00069138611092787
1.48,-0.0090399999999995,-4.1698628397079e-11,-0.00069138613579452
1.49,-0.0045199999999995,-4.3488323903062e-11,-0.00069138615625838
1.5,0,-4.5279964915824e-11,-0.00069138618162129
