E,sy,nu,n,hm,,sy/E,K,,Chollacoop,,,
10,30,0.25,0,0.15,,3,30,,n 0-0.5,,,30
10,30,0.25,0.15,0.25,,3,25.43956328,,E 10-210,,,100
10,30,0.25,0.2,0.5,,3,24.07903717,,sy 30-3000,,,300
10,100,0.25,0.25,1,,10,56.23132116,,ν 0.3,,,1000
10,300,0.25,0.5,1.5,,30,54.7704301,,,,,3000
20,30,0.25,0,0.15,,1.5,30,,,,,
20,100,0.25,0.15,0.25,,5,78.54679102,,,,,
20,100,0.25,0.2,0.5,,5,72.47216952,,,,,
20,100,0.25,0.25,1,,5,66.86734477,,,,,
20,300,0.25,0.5,1.5,,15,77.45450346,,,,,
50,100,0.25,0,0.15,,2,100,,,,,
50,300,0.25,0.15,0.25,,6,229.28564,,,,,
50,300,0.25,0.2,0.5,,6,209.6341619,,,,,
50,300,0.25,0.25,1,,6,191.666961,,,,,
50,1000,0.25,0.5,1.5,,20,223.5956182,,,,,
100,300,0.25,0,0.15,,3,300,,,,,
100,1000,0.25,0.15,0.25,,10,707.9245485,,,,,
100,1000,0.25,0.2,0.5,,10,630.9321092,,,,,
100,1000,0.25,0.25,1,,10,562.3132116,,,,,
100,3000,0.25,0.5,1.5,,30,547.704301,,,,,
210,300,0.25,0,0.15,,1.428571429,300,,,,,
210,1000,0.25,0.15,0.25,,4.761904762,791.2350902,,,,,
210,3000,0.25,0.2,0.5,,14.28571429,1762.498286,,,,,
210,3000,0.25,0.25,1,,14.28571429,1543.052013,,,,,
210,3000,0.25,0.5,1.5,,14.28571429,793.6698384,,,,,
