Case,hmax(um),Pmax(uN),E (GPa),sy (GPa),Etp (GPa),nu,C (GPa),dP/dh (N/m),Wp/Wt
0,0.20845,9997.5,164,1.425,105,0.25,230.1683569,165732.3232,0.501525687
1,0.21792,10879,164,1.425,105,0.25,229.3154434,171258.9074,0.503571842
2,0.22791,11787,164,1.425,105,0.25,227.0627492,1960.784314,0.50597415
3,0.2375,12724,164,1.425,105,0.25,226.4225237,179661.0169,0.50856475
4,0.19901,9151.6,164,1.425,105,0.25,231.0694255,160884.7185,0.499638345
5,0.18961,8335.1,164,1.425,105,0.25,231.839984,153070.4225,0.498029318
6,0.18024,7556.2,164,1.425,105,0.25,232.5923033,145355.0296,0.496546899
7,0.17087,6810.9,164,1.425,105,0.25,233.2775068,138187.5,0.495226257
8,0.16152,6101.4,164,1.425,105,0.25,233.8712764,130664.4518,0.494059901
9,0.15219,5431.8,164,1.425,105,0.25,234.5111742,123626.7606,0.492927257
10,0.14288,4796.7,164,1.425,105,0.25,234.9582074,115430.7116,0.492071358
11,0.13358,4203.3,164,1.425,105,0.25,235.5576306,108433.7349,0.491093251
12,0.1243,3645.8,164,1.425,105,0.25,235.9981248,101608.6957,0.490364406
13,0.12893,3925,164,1.425,105,0.25,236.1133977,107154.8117,0.490475317
14,0.10579,2650.9,164,1.425,105,0.25,236.8667553,87589.74359,0.488999525
15,0.11505,3129.2,164,1.425,105,0.25,236.4068605,93849.76526,0.489625236
16,0.11042,2890.6,164,1.425,105,0.25,237.0786867,91960.78431,0.488963373
17,0.11966,3386.9,164,1.425,105,0.25,236.5398827,99272.72727,0.489781412
18,0.13822,4499.6,164,1.425,105,0.25,235.5223526,114882.8125,0.491404425
19,0.14753,5114.5,164,1.425,105,0.25,234.9816812,122554.7445,0.49232281
20,0.15686,5767.7,164,1.425,105,0.25,234.4070729,129726.0274,0.493313775
12,0.16619,6456.5,164,1.425,105,0.25,233.7656273,136806.4516,0.494528535
22,0.17555,7184.7,164,1.425,105,0.25,233.131483,144268.2927,0.495741306
23,0.18493,7946.1,164,1.425,105,0.25,232.3452623,151037.464,0.49718731
24,0.19431,8744.4,164,1.425,105,0.25,231.5979684,158821.9178,0.498727046
