Case,hmax(um),Pmax(uN),E (GPa),sy (GPa),Etp (GPa),nu,C (GPa),dP/dh (N/m),Wp/Wt
0,0.15986,12454,164,1.425,105,0.25,487.3368414,137731.4815,0.482695315
1,0.17071,13147,164,1.425,105,0.25,451.1373023,137915.7428,0.489202767
2,0.18158,13830,164,1.425,105,0.25,419.4557542,138085.1064,0.49564121
3,0.19244,14501,164,1.425,105,0.25,391.568057,138241.3088,0.502585718
4,0.14901,11758,164,1.425,105,0.25,529.5447009,137198.0676,0.475462963
5,0.13814,11051,164,1.425,105,0.25,579.1121485,136708.8608,0.467752625
6,0.12727,10345,164,1.425,105,0.25,638.6110422,136436.1702,0.458433519
7,0.11639,9624.3,164,1.425,105,0.25,710.4422656,136274.5098,0.448754349
8,0.1055,8890.2,164,1.425,105,0.25,798.715213,136035.503,0.438644907
9,0.094617,8157.6,164,1.425,105,0.25,911.2105403,135550.6746,0.425523326
10,0.083737,7424,164,1.425,105,0.25,1058.759495,135278.4261,0.408353
11,0.072859,6675,164,1.425,105,0.25,1257.414173,134969.7617,0.3873379
12,0.061989,5911.5,164,1.425,105,0.25,1538.344983,134616.8509,0.359717422
13,0.067416,6300.8,164,1.425,105,0.25,1386.317929,134817.8138,0.373369622
14,0.040289,4322.8,164,1.425,105,0.25,2663.067166,134046.3458,0.262464674
15,0.051136,5124.4,164,1.425,105,0.25,1959.661411,134305.6697,0.322955975
16,0.045704,4731.2,164,1.425,105,0.25,2265.023491,134202.6507,0.295147019
17,0.056564,5517.8,164,1.425,105,0.25,1724.558205,134493.6709,0.343730865
18,0.078299,7049.4,164,1.425,105,0.25,1149.829806,135111.8761,0.398804973
19,0.089177,7792.3,164,1.425,105,0.25,979.8256428,135402.5218,0.417392139
20,0.10006,8523.6,164,1.425,105,0.25,851.3181118,135677.3212,0.43254611
12,0.11095,9257.1,164,1.425,105,0.25,751.9799608,135948.2759,0.444021242
22,0.12183,9991.3,164,1.425,105,0.25,673.1323621,136212.5341,0.453042035
23,0.13271,10697,164,1.425,105,0.25,607.3719028,136269.4301,0.463335127
24,0.14358,11405,164,1.425,105,0.25,553.2321261,136790.1235,0.471753354
