Case,hmax(um),Pmax(uN),E (GPa),sy (GPa),Etp (GPa),nu,C (GPa),dP/dh (N/m),Wp/Wt
0,0.20858,9997.1,164,1.425,105,0.25,229.7887222,167102.5641,0.50139513
1,0.21796,10807,164,1.425,105,0.25,227.484365,167733.9901,0.504660968
2,0.22748,11816,164,1.425,105,0.25,228.341076,193533.4873,0.505128847
3,0.23699,12805,164,1.425,105,0.25,227.9919646,194209.3541,0.506861599
4,0.19918,9157.7,164,1.425,105,0.25,230.8314375,166524.0642,0.499258885
5,0.18976,8270.5,164,1.425,105,0.25,229.6795997,150310.7345,0.499348465
6,0.18041,7550.5,164,1.425,105,0.25,231.9821125,1.41E+05,0.49652276
7,0.17107,6850.2,164,1.425,105,0.25,234.0752741,139906.25,0.4939147
8,0.16171,6117.5,164,1.425,105,0.25,233.9377043,140429.0429,0.493393863
9,0.15236,5424.3,164,1.425,105,0.25,233.6693621,120989.3993,0.493274045
10,0.14304,4806.5,164,1.425,105,0.25,234.9167283,120411.985,0.491472658
11,0.13372,4193.1,164,1.425,105,0.25,234.499804,104112.9032,0.491674019
12,0.12443,3665.3,164,1.425,105,0.25,236.733285,105000,0.489096999
13,0.12908,3932,164,1.425,105,0.25,235.9910843,103750,0.490052067
14,0.10587,2638.6,164,1.425,105,0.25,235.4115311,83163.26531,0.490064759
15,0.11513,3121.3,164,1.425,105,0.25,235.4824269,92830.18868,0.490312015
16,0.1105,2884.9,164,1.425,105,0.25,236.2687087,92549.01961,0.489508037
17,0.11978,3388.6,164,1.425,105,0.25,236.184661,104215.2466,0.489573278
18,0.13837,4483.8,164,1.425,105,0.25,234.1867668,114767.4419,0.492044436
19,0.1477,5119,164,1.425,105,0.25,234.6519345,120690.9091,0.492027055
20,0.15702,5728.7,164,1.425,105,0.25,232.3477935,122020.5479,0.494840077
12,0.1664,6489,164,1.425,105,0.25,234.3533307,139551.2821,0.493345215
22,0.17574,7203.8,164,1.425,105,0.25,233.2493289,140733.945,0.494958865
23,0.18508,7892.4,164,1.425,105,0.25,230.4040487,141075.5814,0.498314736
24,0.19447,8720.9,164,1.425,105,0.25,230.5982877,166284.153,0.498987232
