Case,hmax(um),Pmax(uN),E (GPa),sy (GPa),Etp (GPa),nu,C (GPa),dP/dh (N/m),Wp/Wt
0,0.20855,9997.8,164,1.425,105,0.25,229.8709318,168117.0483,0.501394352
1,0.21801,10877,164,1.425,105,0.25,228.852836,175669.0998,0.50341888
2,0.2275,11787,164,1.425,105,0.25,227.740611,183216.7832,0.505629211
3,0.23697,12725,164,1.425,105,0.25,226.6058169,190807.1749,0.508049567
4,0.19911,9149.3,164,1.425,105,0.25,230.7818888,160400,0.499579238
5,0.18969,8334.9,164,1.425,105,0.25,231.6389142,153464.7887,0.497940788
6,0.18031,7554.5,164,1.425,105,0.25,232.3594554,1.46E+05,0.496476965
7,0.17093,6809.7,164,1.425,105,0.25,233.0692704,138031.25,0.495143833
8,0.16157,6101.7,164,1.425,105,0.25,233.7380417,130662.2517,0.493946125
9,0.15223,5430,164,1.425,105,0.25,234.3145918,123063.3803,0.492866213
10,0.14291,4797.2,164,1.425,105,0.25,234.88895,115676.6917,0.491930394
11,0.1336,4201.7,164,1.425,105,0.25,235.4030711,108104.8387,0.491036307
12,0.12432,3646,164,1.425,105,0.25,235.9036505,100869.5652,0.490241071
13,0.12896,3920.2,164,1.425,105,0.25,235.720946,105523.0126,0.490565691
14,0.10582,2651.4,164,1.425,105,0.25,236.7771221,85408.16327,0.488864585
15,0.11508,3129,164,1.425,105,0.25,236.2685177,93098.59155,0.489556091
16,0.11045,2886,164,1.425,105,0.25,236.5728415,89902.43902,0.489148191
17,0.11969,3383.5,164,1.425,105,0.25,236.1839855,98318.18182,0.489788894
18,0.13825,4496,164,1.425,105,0.25,235.231795,112918.2879,0.491387631
19,0.14756,5109.8,164,1.425,105,0.25,234.6748824,120218.1818,0.49233795
20,0.1569,5762.4,164,1.425,105,0.25,234.076338,127713.3106,0.493342892
12,0.16625,6452.1,164,1.425,105,0.25,233.4413477,135176.8489,0.494496019
22,0.17562,7178.7,164,1.425,105,0.25,232.7543781,142735.5623,0.553392472
23,0.185,7941.3,164,1.425,105,0.25,232.0321402,150230.5476,0.497175141
24,0.1944,8737.9,164,1.425,105,0.25,231.2142246,157240.4372,0.498744377
