Case,hmax(um),Pmax(uN),E (GPa),sy (GPa),Etp (GPa),nu,C (GPa),dP/dh (N/m),Wp/Wt
0,0.20445,10467,164,1.425,105,0.25,250.4078817,101290.9836,0.494874528
1,0.21749,11050,164,1.425,105,0.25,233.6058377,101775.1479,0.501963788
2,0.23047,11634,164,1.425,105,0.25,219.0283118,102476.1905,0.508155283
3,0.24334,12208,164,1.425,105,0.25,206.1662223,103125,0.514564918
4,0.19133,9880.5,164,1.425,105,0.25,269.9061494,100682.3028,0.486904264
5,0.17811,9284.5,164,1.425,105,0.25,292.6724973,100088.8889,0.478780687
6,0.16475,8675.6,164,1.425,105,0.25,319.6271538,99466.35731,0.470945821
7,0.15129,8059.3,164,1.425,105,0.25,352.1087978,99099.75669,0.462435636
8,0.13776,7442.4,164,1.425,105,0.25,392.1631115,98443.87755,0.451940587
9,0.12414,6824.3,164,1.425,105,0.25,442.8275461,97653.33333,0.438591656
10,0.11042,6199.7,164,1.425,105,0.25,508.481538,97344.63277,0.421937991
11,0.096378,5541.5,164,1.425,105,0.25,596.5962654,97056.17302,0.406938086
12,0.082114,4869.9,164,1.425,105,0.25,722.2495611,96761.78262,0.388439557
13,0.089257,5206.2,164,1.425,105,0.25,653.5006256,96899.22481,0.398601486
14,0.05346,3455.1,164,1.425,105,0.25,1208.944574,96133.829,0.341102699
15,0.06775,4190.3,164,1.425,105,0.25,912.9069593,96451.94626,0.361012442
16,0.060615,3823.8,164,1.425,105,0.25,1040.729636,96281.73043,0.352193512
17,0.074949,4532.4,164,1.425,105,0.25,806.8569524,96579.20956,0.375811661
18,0.10348,5875.9,164,1.425,105,0.25,548.7336029,97034.88372,0.41393293
19,0.11729,6514.7,164,1.425,105,0.25,473.5572052,97609.89011,0.430395718
20,0.131,7133.5,164,1.425,105,0.25,415.9348716,98219.89529,0.445696977
12,0.15803,8367.5,164,1.425,105,0.25,371.057942,98902.74314,0.457486715
22,0.17144,8982.2,164,1.425,105,0.25,335.0554147,99287.41093,0.46690242
23,0.14454,7751,164,1.425,105,0.25,305.6035571,99909.09091,0.474797026
24,0.18473,9582.6,164,1.425,105,0.25,280.8073685,100282.6087,0.483002763
