Case,hmax(um),Pmax(uN),E (GPa),sy (GPa),Etp (GPa),nu,C (GPa),dP/dh (N/m),Wp/Wt
0,0.2101,10186,164,1.425,105,0.25,230.0967636,194322.9167,0.533614057
1,0.2194,11163,164,1.425,105,0.25,232.3334986,235933.1476,0.534428758
2,0.22885,12195,164,1.425,105,0.25,233.2619629,250402.1448,0.535900169
3,0.23831,13301,164,1.425,105,0.25,233.71391,242523.3645,0.53776674
4,0.20081,9295.6,164,1.425,105,0.25,231.1787365,221197.411,0.533168831
5,0.19118,8456.7,164,1.425,105,0.25,232.6533388,230259.2593,0.52930102
6,0.18142,7660.1,164,1.425,105,0.25,233.8218301,208697.318,0.524248198
7,0.17191,6900.8,164,1.425,105,0.25,233.3363373,155239.6166,0.519971762
8,0.16264,6188.1,164,1.425,105,0.25,233.9148174,147412.5874,0.516571276
9,0.15342,5537.2,164,1.425,105,0.25,235.2703419,141691.7293,0.513036112
10,0.14429,4909.3,164,1.425,105,0.25,235.8152666,129442.2311,0.509664179
11,0.13516,4343.4,164,1.425,105,0.25,237.7406594,117341.7722,0.505847036
12,0.12596,3819.5,164,1.425,105,0.25,240.7234888,111500,0.501493676
13,0.13057,4079.9,164,1.425,105,0.25,239.2992956,114323.1441,0.503675564
14,0.10759,2867,164,1.425,105,0.25,247.6586954,92727.27273,0.491552146
15,0.11676,3324.4,164,1.425,105,0.25,243.8293089,101617.6471,0.496691992
16,0.11216,3091.4,164,1.425,105,0.25,245.7339449,98826.53061,0.494147697
17,0.12137,3565.8,164,1.425,105,0.25,242.0925838,106415.0943,0.499226446
18,0.13972,4617.4,164,1.425,105,0.25,236.5114262,123729.5082,0.507820476
19,0.14885,5219.1,164,1.425,105,0.25,235.5716421,137859.9222,0.511380725
20,0.15802,5857.3,164,1.425,105,0.25,234.5681278,144306.5693,0.514795462
12,0.16727,6533.5,164,1.425,105,0.25,233.6993948,158175.4386,0.518289833
22,0.17666,7279.8,164,1.425,105,0.25,233.8676294,187717.3913,0.521938441
23,0.18636,8046.1,164,1.425,105,0.25,230.9194042,150265.252,0.527135476
24,0.19603,8873.9,164,1.425,105,0.25,229.7375593,170317.4603,0.531861958
