Case,hmax(um),Pmax(uN),E (GPa),sy (GPa),Etp (GPa),nu,C (GPa),dP/dh (N/m),Wp/Wt
0,0.26305,14254,164,1.425,105,0.25,205.9388352,135272.2444,0.481584806
1,0.27305,15005,164,1.425,105,0.25,201.1634094,141313.5593,0.485438552
2,0.28305,15905,164,1.425,105,0.25,198.4465216,141955.1935,0.490183872
3,0.29305,16747,164,1.425,105,0.25,194.9968678,141878.6693,0.493858401
4,0.25303,13375,164,1.425,105,0.25,208.8273495,124129.9304,0.477820414
5,0.24303,12700,164,1.425,105,0.25,214.9717272,118004.8662,0.474173765
6,0.23303,12010,164,1.425,105,0.25,220.9823439,114540.8163,0.47326056
7,0.22301,11136,164,1.425,105,0.25,223.8332096,116172.5067,0.465629576
8,0.21301,10498,164,1.425,105,0.25,231.3036352,112820.5128,0.460068904
9,0.20301,9863.8,164,1.425,105,0.25,239.2979307,108066.4653,0.453633199
10,0.19301,9156.3,164,1.425,105,0.25,245.6885183,115202.3121,0.446287187
11,0.18301,8551,164,1.425,105,0.25,255.2648841,105616.4384,0.43694044
12,0.17301,7964.3,164,1.425,105,0.25,265.9854878,114344.1415,0.425496338
13,0.17801,8253.6,164,1.425,105,0.25,260.3987172,114122.2459,0.431453426
14,0.15301,6803.3,164,1.425,105,0.25,290.5169375,85474.13793,0.391546027
15,0.16301,7374.5,164,1.425,105,0.25,277.4773381,97222.22222,0.410583988
16,0.15801,7088.5,164,1.425,105,0.25,283.8288364,92231.40496,0.401678856
17,0.16801,7669,164,1.425,105,0.25,271.6300771,95076.33588,0.418500577
18,0.18801,8853.1,164,1.425,105,0.25,250.3836162,114854.0146,0.441909236
19,0.19801,9469.6,164,1.425,105,0.25,241.4535206,116362.7878,0.450375568
20,0.20801,10184,164,1.425,105,0.25,235.2538212,106011.7302,0.457013114
12,0.21801,10811,164,1.425,105,0.25,227.3800311,121638.0742,0.46293251
22,0.22801,11472,164,1.425,105,0.25,220.5677553,115223.0971,0.468226722
23,0.23803,12383,164,1.425,105,0.25,218.4323245,136159.601,0.474162637
24,0.24803,13031,164,1.425,105,0.25,211.7236174,118527.3159,0.47612085
