Case,hmax(um),Pmax(uN),E (GPa),sy (GPa),Etp (GPa),nu,C (GPa),dP/dh (N/m),Wp/Wt
0,0.20709,9900.3,164,1.425,105,0.25,230.8501168,208184.3575,0.534217349
1,0.21623,10851,164,1.425,105,0.25,232.0800807,222043.0108,0.535945461
2,0.22538,11854,164,1.425,105,0.25,233.3641685,233850.1292,0.53757923
3,0.23447,12924,164,1.425,105,0.25,235.0836269,251127.8195,0.539184282
4,0.19788,9004.6,164,1.425,105,0.25,229.9644066,195655.9767,0.53243948
5,0.1887,8162.5,164,1.425,105,0.25,229.2341907,184220.1835,0.530549303
6,0.1795,7370.6,164,1.425,105,0.25,228.7567601,171597.4441,0.528533388
7,0.17025,6629.1,164,1.425,105,0.25,228.7074592,159597.3154,0.526387267
8,0.161,5939.1,164,1.425,105,0.25,229.1231048,148652.4823,0.524048795
9,0.15177,5288.1,164,1.425,105,0.25,229.5766905,138014.9813,0.521565653
10,0.14257,4689,164,1.425,105,0.25,230.7197962,129878.5425,0.518688834
11,0.13345,4133.5,164,1.425,105,0.25,232.103017,120948.2759,0.515457085
12,0.12432,3606.8,164,1.425,105,0.25,233.3673304,109170.5069,0.512243249
13,0.12889,3865.6,164,1.425,105,0.25,232.6903995,115752.2124,0.513865985
14,0.10597,2695.8,164,1.425,105,0.25,240.0611047,91489.3617,0.504497899
15,0.11517,3134.6,164,1.425,105,0.25,236.3215876,100000,0.508393302
16,0.11057,2911.7,164,1.425,105,0.25,238.161747,96410.25641,0.506482956
17,0.11975,3367.9,164,1.425,105,0.25,234.8595064,104904.7619,0.510296941
18,0.138,4407,164,1.425,105,0.25,231.4114682,125062.7615,0.517057202
19,0.14716,4980.8,164,1.425,105,0.25,229.9956092,132996.1089,0.520207105
20,0.1564,5611.2,164,1.425,105,0.25,229.3941039,144145.4545,0.522790641
12,0.16563,6275.7,164,1.425,105,0.25,228.7621507,153034.4828,0.525275688
22,0.17489,6991.5,164,1.425,105,0.25,228.5811464,163485.342,0.52750309
23,0.18412,7757.9,164,1.425,105,0.25,228.8454304,176074.7664,0.529577518
24,0.19329,8574.4,164,1.425,105,0.25,229.498527,189161.6766,0.531530936
