Case,hmax(um),Pmax(uN),E (GPa),sy (GPa),Etp (GPa),nu,C (GPa),dP/dh (N/m),Wp/Wt
0,0.26306,13046,164,1.425,105,0.25,188.5244761,190929.2035,0.489791458
1,0.27307,14457,164,1.425,105,0.25,193.8653345,209957.6271,0.488890691
2,0.28309,15986,164,1.425,105,0.25,199.4635682,227789.0467,0.487982335
3,0.2931,17598,164,1.425,105,0.25,204.8363352,246289.0625,0.487359223
4,0.25305,11773,164,1.425,105,0.25,183.8389666,177083.3333,0.489904368
5,0.24304,10612,164,1.425,105,0.25,179.6390714,158762.1359,0.48855921
6,0.23303,9581.8,164,1.425,105,0.25,176.4433525,145498.7212,0.486346479
7,0.22303,8632.4,164,1.425,105,0.25,173.5321037,140322.5806,0.482661682
8,0.21302,7800.9,164,1.425,105,0.25,171.8383889,112678.0627,0.47690481
9,0.20302,7102.4,164,1.425,105,0.25,172.3143182,107500,0.471139559
10,0.19301,6459.7,164,1.425,105,0.25,173.3987668,104983.9228,0.462840501
11,0.18301,5857.8,164,1.425,105,0.25,174.8890647,97773.9726,0.452728146
12,0.17301,5299.9,164,1.425,105,0.25,177.0619582,90698.52941,0.439667333
13,0.17801,5566.9,164,1.425,105,0.25,175.6683059,94929.07801,0.446259579
14,0.153,4409.4,164,1.425,105,0.25,188.3549062,69696.9697,0.417610732
15,0.16301,4836.1,164,1.425,105,0.25,181.9943047,74722.22222,0.427118527
16,0.158,4621.8,164,1.425,105,0.25,185.1385996,72614.10788,0.422100566
17,0.16801,5059.9,164,1.425,105,0.25,179.2409911,75305.34351,0.433378924
18,0.18801,6146.8,164,1.425,105,0.25,173.8950356,98438.53821,0.457996617
19,0.19801,6770.7,164,1.425,105,0.25,172.6817713,107507.7882,0.467393746
20,0.20802,7458,164,1.425,105,0.25,172.3434272,109590.6433,0.47412193
12,0.21802,8190.4,164,1.425,105,0.25,172.3107773,130941.8283,0.479946692
22,0.22803,9094.3,164,1.425,105,0.25,174.8962616,140314.1361,0.484511561
23,0.23804,10075,164,1.425,105,0.25,177.8054922,155223.8806,0.487633678
24,0.24805,11178,164,1.425,105,0.25,181.6060048,169905.2133,0.489505858
