Case,hmax(um),Pmax(uN),E (GPa),sy (GPa),Etp (GPa),nu,C (GPa),dP/dh (N/m),Wp/Wt
0,0.20801,11510,164,1.425,105,0.25,266.0154713,201804.1237,0.522847212
1,0.21745,12498,164,1.425,105,0.25,264.3149307,207389.1626,0.526056668
2,0.22692,13557,164,1.425,105,0.25,263.2801073,218352.9412,0.52909055
3,0.2364,14639,164,1.425,105,0.25,261.948832,225339.3665,0.532429349
4,0.24588,15763,164,1.425,105,0.25,260.7308777,239045.5531,0.535904068
5,0.25541,16939,164,1.425,105,0.25,259.6641381,249478.0793,0.539561521
6,0.26495,18098,164,1.425,105,0.25,257.8117674,2.50E+05,0.543880068
7,0.27451,19333,164,1.425,105,0.25,256.5564345,264271.8447,0.548339905
8,0.2841,20611,164,1.425,105,0.25,255.362191,274766.3551,0.552792457
9,0.29366,21885,164,1.425,105,0.25,253.7797481,280545.4545,0.557179221
10,0.30327,23228,164,1.425,105,0.25,252.5532228,291418.5639,0.561300869
11,0.31288,24613,164,1.425,105,0.25,251.4150668,302210.8844,0.565191717
12,0.19859,10532,164,1.425,105,0.25,267.0521623,192000,0.520132817
13,0.18918,9613.4,164,1.425,105,0.25,268.6127177,182670.4545,0.517314971
14,0.17979,8722.2,164,1.425,105,0.25,269.8329466,171107.7844,0.514853779
15,0.17042,7880.4,164,1.425,105,0.25,271.3358263,162929.9363,0.512426835
16,0.16109,7081.1,164,1.425,105,0.25,272.8748843,153043.4783,0.510121993
17,0.15175,6322.5,164,1.425,105,0.25,274.5563158,143879.0036,0.507974882
18,0.14242,5607.3,164,1.425,105,0.25,276.4469669,134980.9886,0.505888993
19,0.13311,4934.7,164,1.425,105,0.25,278.5090991,125609.7561,0.503945628
20,0.12383,4305.4,164,1.425,105,0.25,280.7771495,116200.8734,0.502033158
12,0.11455,3719.8,164,1.425,105,0.25,283.4845555,108199.0521,0.500195435
22,0.10529,3179,164,1.425,105,0.25,286.7584845,98717.94872,0.498310183
23,0.096052,2681,164,1.425,105,0.25,290.5922246,90621.46893,0.49644295
24,0.086815,2225.7,164,1.425,105,0.25,295.3092745,82363.97749,0.494554763
