Case,hmax(um),Pmax(uN),E (GPa),sy (GPa),Etp (GPa),nu,C (GPa),dP/dh (N/m),Wp/Wt
0,0.19391,9811.8,164,1.425,105,0.25,260.9445762,182631.5789,0.517873599
1,0.20332,10741,164,1.425,105,0.25,259.827141,191820.5805,0.520688733
2,0.21275,11730,164,1.425,105,0.25,259.1545717,202272.7273,0.523436055
3,0.22219,12739,164,1.425,105,0.25,258.0395761,213493.9759,0.526561074
4,0.23166,13810,164,1.425,105,0.25,257.3306841,223271.8894,0.529646018
5,0.24113,14881,164,1.425,105,0.25,255.9349665,225777.7778,0.533187848
6,0.25064,16029,164,1.425,105,0.25,255.1559295,2.40E+05,0.536647293
7,0.26016,17216,164,1.425,105,0.25,254.3613997,250718.6858,0.54032247
8,0.26969,18395,164,1.425,105,0.25,252.91239,256237.6238,0.544730824
9,0.27925,19637,164,1.425,105,0.25,251.8191633,267686.4245,0.549248393
10,0.28882,20912,164,1.425,105,0.25,250.6923278,276524.9538,0.553713561
11,0.29839,22211,164,1.425,105,0.25,249.4592333,286046.5116,0.558037569
12,0.308,23571,164,1.425,105,0.25,248.471496,295689.6552,0.562115466
13,0.31761,24944,164,1.425,105,0.25,247.273606,301337.7926,0.565948908
14,0.32723,26372,164,1.425,105,0.25,246.2843651,313614.2626,0.569500053
15,0.33687,27855,164,1.425,105,0.25,245.4587339,323427.673,0.572728459
16,0.3465,29339,164,1.425,105,0.25,244.3649024,328024.5023,0.575774902
17,0.35616,30904,164,1.425,105,0.25,243.6264348,342496.2853,0.578535852
18,0.36581,32512,164,1.425,105,0.25,242.9587471,351808.9725,0.581081778
19,0.18452,8915.2,164,1.425,105,0.25,261.8449477,173924.4186,0.515318043
20,0.17514,8060.6,164,1.425,105,0.25,262.8126558,166160.9907,0.512896415
12,0.16579,7251.1,164,1.425,105,0.25,263.8075566,156038.961,0.51061384
22,0.15644,6482.8,164,1.425,105,0.25,264.8908817,147068.9655,0.508439201
23,0.14711,5758.1,164,1.425,105,0.25,266.0693275,137912.0879,0.50633003
24,0.13779,5075.8,164,1.425,105,0.25,267.3431748,129176.4706,0.504373688
,,,,,,,,,
