Case,hmax(um),Pmax(uN),E (GPa),sy (GPa),Etp (GPa),nu,C (GPa),dP/dh (N/m),Wp/Wt
0,0.18898,10567,164,1.425,105,0.25,298.8803859,211655.1724,0.521274083
1,0.19383,10976,164,1.425,105,0.25,294.3300273,215159.8677,0.523350696
2,0.19852,11511,164,1.425,105,0.25,292.287907,224127.59,0.524862335
3,0.20305,12031,164,1.425,105,0.25,292.8156128,231852.6428,0.525122157
4,0.18424,10032,164,1.425,105,0.25,297.9307887,203000,0.519622195
5,0.17939,9585.5,164,1.425,105,0.25,299.2304351,197478.9916,0.517508792
6,0.17472,9124.1,164,1.425,105,0.25,300.8797477,184862.6045,0.515220259
7,0.16962,8665.1,164,1.425,105,0.25,301.3530135,179037.8647,0.511900649
8,0.16506,8216.1,164,1.425,105,0.25,301.6754138,170921.2198,0.509918385
9,0.17939,9585.5,164,1.425,105,0.25,299.2304351,197478.9916,0.517508792
10,0.17472,9124.1,164,1.425,105,0.25,300.8797477,184862.6045,0.515220259
11,0.16962,8665.1,164,1.425,105,0.25,301.3530135,179037.8647,0.511900649
12,0.16506,8216.1,164,1.425,105,0.25,301.6754138,170921.2198,0.509918385
13,0.16058,7784.9,164,1.425,105,0.25,301.9048787,157314.931,0.508946841
14,0.15611,7385.7,164,1.425,105,0.25,303.1387824,157386.6667,0.50704439
15,0.15155,7003.3,164,1.425,105,0.25,304.9637117,145938.1172,0.505292061
16,0.14692,6636.8,164,1.425,105,0.25,307.5077127,147275.2809,0.503553325
17,0.1424,6290,164,1.425,105,0.25,310.2792037,143897.6945,0.501745346
18,0.13778,5963.4,164,1.425,105,0.25,314.1177287,140582.1665,0.499773517
19,0.1424,6290,164,1.425,105,0.25,310.2792037,143897.6945,0.501745346
20,0.13778,5963.4,164,1.425,105,0.25,314.1177287,140582.1665,0.499773517
12,0.13317,5635.2,164,1.425,105,0.25,317.7467527,135395.0339,0.497786295
22,0.12854,5311.7,164,1.425,105,0.25,321.4761593,131292.3077,0.495848591
23,0.12393,4993,164,1.425,105,0.25,325.1462553,124976.4151,0.493853768
24,0.11926,4676.6,164,1.425,105,0.25,328.8066673,119599.0377,0.491655629
