Case,Pmax(uN),hmax(nm),E (GPa),sy (GPa),Etp (GPa),nu,C (GPa),dP/dh (N/m),Wp/Wt
0,9715.4,223.701,164,1425,105,0.25,235.8708049,207025.4958,0.534743412
1,10655,233.701,164,1425,105,0.25,236.069556,236069.556,0.536220233
2,11653,243.701,164,1425,105,0.25,237.3859623,234203.6554,0.537890843
3,12707,253.701,164,1425,105,0.25,238.8559763,247738.6935,0.53952912
4,13823,263.701,164,1425,105,0.25,240.5435798,263106.7961,0.54107567
5,15000,273.701,164,1425,105,0.25,242.3401759,277283.3724,0.542585436
6,16243,283.701,164,1425,105,0.25,244.3805999,293650.7937,0.54404673
7,17546,293.701,164,1425,105,0.25,246.3278531,308552.6316,0.545501741
8,18211,298.701,164,1425,105,0.25,247.2920331,316304.3478,0.546268484
9,16889,288.701,164,1425,105,0.25,245.3627843,300666.6667,0.544765645
10,15615,278.701,164,1425,105,0.25,243.3725592,287500,0.543313015
11,14406,268.701,164,1425,105,0.25,241.4366217,270476.1905,0.541841641
12,13257,258.701,164,1425,105,0.25,239.6666205,255308.642,0.540310983
13,12172,248.701,164,1425,105,0.25,238.0797203,240409.2072,0.538707491
14,11146,238.701,164,1425,105,0.25,236.7007157,226595.7447,0.537064361
15,10179,228.701,164,1425,105,0.25,235.5028329,213351.8006,0.535377542
16,9265.9,218.701,164,1425,105,0.25,234.4760781,200956.5217,0.533629695
17,8407.8,208.701,164,1425,105,0.25,233.640276,189027.3556,0.531797016
18,,,164,1425,105,0.25,,,
19,,,164,1425,105,0.25,,,
20,,,164,1425,105,0.25,,,
12,,,164,1425,105,0.25,,,
22,,,164,1425,105,0.25,,,
23,,,164,1425,105,0.25,,,
24,,,164,1425,105,0.25,,,
25,,,164,1425,105,0.25,,,
