Case,Pmax(uN),hmax(um),E (GPa),sy (GPa),Etp (GPa),nu,C (GPa),dP/dh (N/m),Wp/Wt
0,1674.9,0.13,164,1425,105,0.25,99.10650888,29277.30769,0.62000697
1,1379,0.11,164,1425,105,0.25,113.9586777,29605,0.606154207
2,1349.8,0.108,164,1425,105,0.25,115.7150206,29632.87037,0.604583826
3,1349.8,0.108,164,1425,105,0.25,116.5603983,29602.80374,0.603834132
4,1334.6,0.107,164,1425,105,0.25,116.5603983,29602.80374,0.603834132
5,1319.1,0.106,164,1425,105,0.25,117.3994304,29556.13208,0.603093113
6,1304.1,0.105,164,1425,105,0.25,118.276644,29521.90476,0.602338545
7,1289,0.104,164,1425,105,0.25,118.7199548,29466.01942,0.60160285
8,1273.9,0.103,164,1425,105,0.25,119.6174548,29440.68627,0.600865111
9,1258.8,0.102,164,1425,105,0.25,120.9919262,29443.13725,0.600116428
10,1243.7,0.101,164,1425,105,0.25,121.9194197,29403.46535,0.599356683
11,1228.5,0.1,164,1425,105,0.25,122.85,29360.5,0.598566133
12,1213.3,0.099,164,1425,105,0.25,123.7934905,29322.22222,0.597823374
13,1198,0.098,164,1425,105,0.25,124.7396918,29274.4898,0.597050404
14,1182.7,0.097,164,1425,105,0.25,125.6881709,29206.18557,0.596256054
15,1167.2,0.096,164,1425,105,0.25,126.6493056,29141.66667,0.595482711
16,1151.8,0.095,164,1425,105,0.25,127.6121884,29072.63158,0.594711235
17,1136.1,0.094,164,1425,105,0.25,128.5762789,29003.7234,0.593935807
