Case,Pmax(uN),hmax(nm),E (GPa),sy (GPa),Etp (GPa),nu,C (GPa),dP/dh (N/m),Wp/Wt
0,545.98,0.063,164,1425,105,0.25,137.5610985,18662.69841,0.580515602
1,536.46,0.062,164,1425,105,0.25,139.5577523,18624.19355,0.579157518
2,517.52,0.06,164,1425,105,0.25,143.7527778,18550,0.576441343
3,498.69,0.058,164,1425,105,0.25,148.2401902,18481.03448,0.573550929
4,479.96,0.056,164,1425,105,0.25,153.0484694,18411.60714,0.570486497
5,461.34,0.054,164,1425,105,0.25,158.2098765,18348.14815,0.567275711
6,442.76,0.052,164,1425,105,0.25,163.7426036,18290.38462,0.564051721
7,424.22,0.05,164,1425,105,0.25,169.688,18236,0.560712854
8,414.98,0.049,164,1425,105,0.25,172.8363182,18211.22449,0.558994877
9,405.75,0.048,164,1425,105,0.25,176.1067708,18187.5,0.557224273
10,396.53,0.047,164,1425,105,0.25,179.5065641,18170.21277,0.555412371
11,387.32,0.046,164,1425,105,0.25,183.0387524,18147.82609,0.553546744
12,378.11,0.045,164,1425,105,0.25,186.7209877,18127.77778,0.551642044
13,368.89,0.044,164,1425,105,0.25,190.5423554,18109.09091,0.549725746
14,433.48,0.051,164,1425,105,0.25,166.6589773,18262.7451,0.562400912
15,452.04,0.053,164,1425,105,0.25,160.9255963,18318.86792,0.565668649
16,470.65,0.055,164,1425,105,0.25,155.5867769,18380,0.568889917
