Nodes,1124,,,,Nodes,3907,,,,Nodes,389,,
Elements,336,,,,Elements,1231,,,,Elements,109,,
Average min length,0.052072,,,,Average min length,0.027845,,,,Average min length,0.084797,,
Average max length,0.062288,,,,Average max length,0.031714,,,,Average max length,0.11356,Final W,2.48E+01
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2.47E+01,8.00E-02,8.88E+02,,,2.45E+01,8.00E-02,8.81E+02,,,2.47E+01,8.00E-02,8.85E+02,
W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s),,W (pJ),hm (μm),F (μN),t (s)
9.98E-04,1.60E-03,2.39E+00,0.2,,1.15E-03,1.60E-03,3.108,0.2,,1.71E-03,1.60E-03,4.3846,0.2
8.10E-03,3.20E-03,9.24E+00,0.4,,8.10E-03,3.20E-03,8.9482,0.4,,1.05E-02,3.20E-03,10.003,0.4
2.40E-02,4.80E-03,1.65E+01,0.6,,2.40E-02,4.80E-03,16.842,0.6,,2.66E-02,5.24E-03,15.232,0.6
5.22E-02,6.40E-03,2.69E+01,0.8,,5.05E-02,6.40E-03,25.368,0.8,,4.95E-02,7.29E-03,20.319,0.8
9.30E-02,8.00E-03,3.65E+01,1,,8.90E-02,8.00E-03,35.262,1,,8.39E-02,8.60E-03,33.589,1
0.14584,9.60E-03,4.56E+01,1.2,,1.41E-01,9.60E-03,46.839,1.2,,1.37E-01,9.75E-03,47.663,1.2
0.21201,1.12E-02,5.76E+01,1.4,,2.09E-01,1.12E-02,57.838,1.4,,2.06E-01,1.12E-02,60.63,1.4
0.2951,1.28E-02,7.13E+01,1.6,,2.91E-01,1.28E-02,70.752,1.6,,2.93E-01,1.28E-02,73.106,1.6
0.39491,1.44E-02,84.214,1.8,,0.38901,1.44E-02,83.683,1.8,,0.39489,1.44E-02,85.151,1.8
0.5111,1.60E-02,96.827,2,,0.50601,1.60E-02,98.199,2,,0.51346,1.60E-02,96.994,2
0.6471,1.76E-02,113.71,2.2,,0.6414,1.76E-02,112.07,2.2,,0.64754,1.76E-02,108.61,2.2
0.80423,1.92E-02,129.6,2.4,,0.79393,1.92E-02,126.8,2.4,,0.79647,1.92E-02,121.87,2.4
0.9815,2.08E-02,144.84,2.6,,0.96548,2.08E-02,142.53,2.6,,0.96618,2.08E-02,142.86,2.6
1.1779,2.24E-02,159.69,2.8,,1.1574,2.24E-02,158.28,2.8,,1.1631,2.24E-02,162.57,2.8
1.393,2.40E-02,174.19,3,,1.3714,2.40E-02,175.19,3,,1.3854,2.40E-02,181.27,3
1.6262,2.56E-02,190.03,3.2,,1.6069,2.56E-02,191.45,3.2,,1.6316,2.56E-02,199.41,3.2
1.8811,2.72E-02,209.8,3.4,,1.8617,2.72E-02,208.55,3.4,,1.9009,2.72E-02,217.04,3.4
2.1606,2.88E-02,228.63,3.6,,2.1369,2.88E-02,226.94,3.6,,2.1926,2.88E-02,234.25,3.6
2.4644,3.04E-02,246.85,3.8,,2.4364,3.04E-02,244.76,3.8,,2.5059,3.04E-02,251.23,3.8
2.7921,3.20E-02,264.53,4,,2.7591,3.20E-02,262.74,4,,2.8406,3.20E-02,267.87,4
3.143,3.36E-02,281.84,4.2,,3.1073,3.36E-02,281.63,4.2,,3.1964,3.36E-02,284.24,4.2
3.5172,3.52E-02,302.32,4.4,,3.4808,3.52E-02,300.26,4.4,,3.5724,3.52E-02,300.46,4.4
3.9181,3.68E-02,322.31,4.6,,3.8768,3.68E-02,319.25,4.6,,3.9689,3.68E-02,316.51,4.6
4.3443,3.84E-02,341.7,4.8,,4.2943,3.84E-02,340.14,4.8,,4.3853,3.84E-02,332.44,4.8
4.7948,4.00E-02,360.61,5,,4.7399,4.00E-02,360.35,5,,4.8218,4.00E-02,348.25,5
5.2689,4.16E-02,379.11,5.2,,5.2108,4.16E-02,380.08,5.2,,5.2694,4.16E-02,372.42,5.2
5.7672,4.32E-02,397.62,5.4,,5.7083,4.32E-02,400.16,5.4,,5.7486,4.32E-02,398.19,5.4
6.2881,4.48E-02,420.17,5.6,,6.2326,4.48E-02,421.23,5.6,,6.2632,4.48E-02,423.04,5.6
6.8361,4.64E-02,444.6,5.8,,6.7829,4.64E-02,441.68,5.8,,6.8124,4.64E-02,447.08,5.8
7.4163,4.80E-02,467.91,6,,7.3573,4.80E-02,462,6,,7.3941,4.80E-02,470.51,6
8.0264,4.96E-02,490.53,6.2,,7.9548,4.96E-02,485.15,6.2,,8.0073,4.96E-02,493.3,6.2
8.667,5.12E-02,512.73,6.4,,8.5862,5.12E-02,507.78,6.4,,8.6504,5.12E-02,515.59,6.4
9.3351,5.28E-02,534.6,6.6,,9.2475,5.28E-02,529.93,6.6,,9.3221,5.28E-02,537.51,6.6
10.03,5.44E-02,556.18,6.8,,9.9365,5.44E-02,551.58,6.8,,10.023,5.44E-02,559.17,6.8
10.752,5.60E-02,577.57,7,,10.653,5.60E-02,572.69,7,,10.751,5.60E-02,580.58,7
11.5,5.76E-02,598.72,7.2,,11.395,5.76E-02,593.35,7.2,,11.506,5.76E-02,601.77,7.2
12.274,5.92E-02,619.73,7.4,,12.161,5.92E-02,613.61,7.4,,12.287,5.92E-02,622.76,7.4
13.073,6.08E-02,640.6,7.6,,12.955,6.08E-02,633.68,7.6,,13.095,6.08E-02,643.62,7.6
13.898,6.24E-02,661.35,7.8,,13.772,6.24E-02,653.51,7.8,,13.928,6.24E-02,664.32,7.8
14.748,6.40E-02,682.01,8,,14.612,6.40E-02,673.1,8,,14.787,6.40E-02,684.85,8
15.623,6.56E-02,702.63,8.2,,15.478,6.56E-02,693.19,8.2,,15.671,6.56E-02,705.3,8.2
16.523,6.72E-02,723.18,8.4,,16.376,6.72E-02,713.99,8.4,,16.579,6.72E-02,725.68,8.4
17.449,6.88E-02,743.69,8.6,,17.312,6.88E-02,735.11,8.6,,17.512,6.88E-02,745.98,8.6
18.402,7.04E-02,764.22,8.8,,18.275,7.04E-02,756.26,8.8,,18.47,7.04E-02,766.14,8.8
19.382,7.20E-02,784.77,9,,19.261,7.20E-02,777.32,9,,19.451,7.20E-02,786.02,9
20.386,7.36E-02,805.34,9.2,,20.27,7.36E-02,798.31,9.2,,20.455,7.36E-02,805.93,9.2
21.415,7.52E-02,825.9,9.4,,21.301,7.52E-02,819.22,9.4,,21.483,7.52E-02,825.77,9.4
22.471,7.68E-02,846.53,9.6,,22.353,7.68E-02,839.94,9.6,,22.533,7.68E-02,845.57,9.6
23.551,7.84E-02,867.18,9.8,,23.427,7.84E-02,860.46,9.8,,23.607,7.84E-02,865.25,9.8
